№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
;;;;;
402;55855;Форель филе на коже ~0,8кг+ в/у  trim А ГОСТ Май Россия (КОД 55855) (-18°С);~14-15кг;кг;1 273,47
;;;;;
403;59455;Форель филе на коже ~1,2-2кг пакет 5%гл trim C TR 61-0026 Турция (КОД 59455) (-18°С);~12кг;кг;1 515,00
;;;;;
404;55782;Форель филе на коже ~1,2кг+ в/у высш.кат trim A ГОСТ Май Россия (КОД 55782) (-18°С);~15кг;кг;1 514,13
;;;;;
;;Рыбные консервы /;;;
405;21117;Анчоусы филе в масле 12х700гр (осн.пр.385гр) ж/б Mari del Sud™ CE IT 779 Италия (КОД 21117) (+18°C);12х0,7 кг;шт;2 210,01
;;;;;
406;50099;Сайра натуральная тихоокеанская 250гр х48шт ж/б ГОСТ SunFeel™, Русский рыбный мир (КОД 50099)(+18°С);48*250гр.;шт;170,9
;;;;;
;;Тунец /;;;
407;17262;Тунец консерв. в собст.соку кусочки 1,885кг (осн.пр.1,2кг)ж/б Sunfeel №3500/01113 (КОД 17262)(+18°С);6х1,885кг;шт;1 329,70
;;;;;
408;19878;Тунец консерв. в собст.соку кусочки 170гр (осн.пр.120гр) ж/б Sunfeel №3302/01034 Китай (КОД 19878) (+18°С);24х170гр;шт;164,4
;;;;;
;;Рыбные полуфабрикаты /;;;
;;Эсперсен /;;;
409;17221;Минтай филе в панировке (бургер) 90гр/шт 7кг/кор, Эсперсен, Россия (КОД 17221) (-18°С);1х7кг;кор;2 861,06
;;;;;
410;99499;Наггетсы рыбные из филе минтая в кляре 19г/шт 1кг/пак Эсперсен, Россия (КОД 99499) (-18°С);10х1кг;шт;479,19
;;;;;
;;в) Молочные продукты /;;;
;;Масло сливочное /;;;
411;21172;"Масло 82,5% 0,180кг ""Традиционное"" Милград® в/с ГОСТ БЗМЖ Брянский МК Россия (КОД 21172) (-18°С)";36х180гр;шт;132,97
;;;;;
412;13345;"Масло 82,5% порц 216шт х10гр пластик PREMIUM БЗМЖ ГОСТ ""Gudberg"" Россия (КОД 13345) (-18°С)";216х10гр;кор;1 747,00
;;"Butter, portion pack, 216x10g, plastic, ""Gudberg"", Russia";;;
413;20999;Масло 82,5% сладко-сливочное несол. 500гр ГОСТ БЗМЖ Тысяча озер® Россия (КОД 20999) (0°С);16 х 500гр;шт;465,92
;;;;;
414;59141;Масло 82,5% сладко-сливочное несол. листовое 2кгх5/кор БЗМЖ Zealandia Professional® (КОР) (КОД 59141) (-18°С);10кг;кор;8 584,68
;;;;;
415;40780;Масло 82,5% сладко-сливочное несол.Традиционное 10кг/кор в/с ГОСТ БЗМЖ Алтико (КОД 40780) (-18°С);1х10кг;кор;6 402,91
;;;;;
416;52249;Масло 82% 25кг сладко-сливочное несоленое БЗМЖ ELCOR Аргентина (КОД 52249) (-18°С);25кг;кор;18 306,00
;;;;;
417;57859;Масло 82% кислосливочное несоленое 180гр в/с President™ Беларусь (КРД) (КОД 57859) (0°С);180гр;шт;253,48
;;;;;
418;59139;Масло 83% сладко-сливочное несол. 500гр БЗМЖ Zealandia Kitchen® Россия (КОД 59139) (-18°С);10х500гр;шт;384,58
;;;;;
419;59385;Масло 84% сладко-сливочное несол. 20кг/кор ГОСТ БЗМЖ Professional line Эконива (КОД 59385) (-18°С);20кг/кор;кор;17 080,00
;;;;;
420;59138;Масло 84% сладко-сливочное несол. 500гр БЗМЖ Zealandia Professional® Россия (КОД 59138) (-18°С);10х500гр;шт;475,31
;;;;;
421;19534;Спред 82,5%, растит-жировой, 500гр (мол.жир 10%) ГОСТ, ЗМЖ, Ильинское 95, Россия(КОД 19534) (-18°С);10х500гр;шт;166,29
;;;;;
422;19533;Спред 82,5%, растит-жировой, 5кг (мол.жир 10%) ГОСТ, ЗМЖ, Ильинское 95, Россия (КОД 19533) (-18°С);1х5кг;кор;1 568,16
;;;;;
;;Молоко /;;;
423;45279;Молоко 0.05% безлактозное 12х1л ультрапаст, БЗМЖ,Тетра пак,Parmalat Comfort Россия (КОД 45279) (0°С);12х1л;шт;143,53
;;;;;
424;14121;Молоко 1,8% 1л ультрапаст ГОСТ БЗМЖ Edge Parmalat® Россия (25247420) (КОД 14121)(0°С);12х1л;шт;112,34
;;Milk, 1,8%, 1L, Parmalat, Russia;не бьется;;
425;34565;Молоко 3,2% 1л тетра пак (для Капучино) ГОСТ БЗМЖ Professional line Эконива Россия (КОД 34565) (0°С);12х1л;шт;83,71
;;;;;
426;12298;Молоко 3,2% Молочная речка™ 973мл/1кг Tetra Pak ГОСТ БЗМЖ Милком (ПУ) (КОД 12298) (0°С);12х973мл;шт;73,63
;;Milk, 3,5%, 12*0.973L, for capuchino, Molochnaya rechka, Russia;;;
427;57912;Молоко 3,2% ультрапаст 1л тетра пак(без крышки) ГОСТ БЗМЖ Чудское Озеро™ Лужский МК (КОД 57912)(0°С);12х1л;шт;80,72
;;;;;
428;20716;Молоко 3,2% ультрапаст 975мл тетра пак ГОСТ БЗМЖ Брянский МК Россия (КОД 20716) (0°С);975мл;шт;85,54
;;;;;
429;59366;Молоко 3,5% 1л ультрап БЗМЖ тетра Brik (без крышки) ГОСТ Professional Parmalat® Россия (КОД 59366) (0°С);16х1л;шт;91,7
;;;;;
430;14124;Молоко 3,5% 1л ультрап ГОСТ БЗМЖ тетра пак (с крышкой) Edge Parmalat®  Белгородский МК (КОД 14124) (0°С);12 х 1л;шт;98,8
;;Milk, 3,5 %, 1L, Parmalat, Russia;не бьется;;
431;11368;Молоко 3,5% для Капучино Молочная речка™ 973мл (1кг) Tetra Pak ГОСТ БЗМЖ Милком (КОД 11368) (0°С);12х973мл;шт;89,53
;;Milk, 3,5%, 12*0.973L, for capuchino, Molochnaya rechka, Russia;;;
432;51920;Молоко сгущенное Вареное 0,2% 370гр ж/б БЗМЖ Промконсервы Россия (КОД 51920) (0°С);45х370гр;шт;67,39
;;;;;
433;13749;Молоко сгущенное с сахаром 8,5% «Рогачевъ» 380гр ж\б БЗМЖ ГОСТ Беларусь (КОД 13749) (О°С);30х380гр;шт;123,11
;;"Condensed milk, 380g, tin, ""Gustiyar"", Russia";;;
434;47710;"Молоко сгущенное с сахаром 8,5% Сгущенка молокосод.пр.СЗМЖ 380гр ж/б ""Промконсервы""(КОД 47710 )(0°С)";45х380гр;шт;64,15
;;;;;
435;58980;Молокосодержащий напиток 3,2% 0,95л тетра пак (б/крыш) СЗМЖ Стоп Цена™ Пятигорский МК (КОД 58980) (0°С);12х1л;шт;55,02
;;;;;
436;58192;Молокосодержащий напиток 3,2% 973мл тетра пак (б/крыш) СЗМЖ Славянские кружева Молодел (1910) (КОД 58192)(0°С);12х973мл;шт;63,7
;;;;;
;;Молочнокислые продукты /;;;
437;40853;Сметана 30% 2кг вед ГОСТ БЗМЖ President® Ефремовский МК Россия (КОД 40853) (0°С);1х2кг;шт;891
;;;;;
438;19139;Сметана 30% 350гр ГОСТ БЗМЖ President® Ефремовский МК Россия (КОД 19139) (0°С);12 х 350гр;шт;148,21
;;;не бьется;;
439;97761;Сырники из творога зам 70гр х100шт СЗМЖ Mr.Food™ Корона-Фуд Россия (022807) (КОД 97761) (-18°С);100х70гр;кор;2 866,12
;;"Cheesecakes from cottage cheese, deputy, 70gr * 100pcs, ""Crown Fud""";;;
440;58307;Сырники из творога классич 70гр х50шт/кор Мираторг™ Трио-Инвест (КОР) (КОД 58307) (-18°С);3,5кг;кор;1 226,23
;;;;;
441;59747;Сырники из творога с вишн.начинкой 70гр х50шт/кор Мираторг™ Трио-Инвест (КОР) (КОД 59747) (-18°С);3,5кг;кор;1 229,09
;;;;;
442;59748;Сырники из творога с клубн.начинкой 70гр х50шт/кор Мираторг™ Трио-Инвест (КОР) (КОД 59748) (-18°С);3,5кг;кор;1 229,09
;;;;;
443;54505;Сырники из творожного продукта зам 50гр х100шт СЗМЖ Алексинский м/к Россия (КОД 54505) (-18°С);100х50гр;кор;1 431,43
;;;;;
444;49849;Творог 9% President® рассыпчатый 900гр БЗМЖ  Лакталис Восток Белгородский МК(812146)(КОД 49849)(0°С);5х900гр;шт;443,44
;;;;;
;;Молочные продукты прочие /;;;
445;55365;Коктейль молочный 1,2% Шоколадный 1л тетра-пак с крыш Белый город™ Россия (502437) (КОД 55365) (0°С);12х1л;шт;135,43
;;;;;
446;53584;Коктейль молочный 1,5% Ванильный 0,5л тетра-пак Белый город (КОД 53584) (0°С);24х0,5л;шт;76,42
;;;;;
447;55366;Коктейль молочный 1,5% Клубничный 1л тетра-пак с крыш Белый город™ Россия (502435) (КОД 55366) (0°С);12х1л;шт;135,43
;;;;;
448;12085;Смесь молочная готовая для мороженого 4,8% жидкая ванильная 1л Чудское озеро™ (КОД 12085) (0°С);12*1л;шт;183,54
;;;не бьется;;
;;Мороженое /;;;
;;Мороженое Dulce de Leche /;;;
449;15022;Мороженое Сорбет лайма 1.9 кг пл/конт ГОСТ Dulce de Leche™ Россия (5013) (КОД 15022);4х1,9кг;шт;1 749,08
;;Ice Cream Sorbet Lime 34% fruit, 2,4l/1,9kg, Dulce de Leche, Russia;;;
450;55657;Мороженое Сорбет черной смородины 1.6 кг ГОСТ Dulce de Leche™ Россия (5053) (КОД 55657) (-18°С);4х1,6кг;шт;1 971,90
;;;;;
;;Мороженое Айсберри /;;;
451;11192;Мороженое Ваниль Бурбон Премиум 12% 2,2кг/шт Филевск ГОСТ БЗМЖ Айсберри (ВМ-1846) (ПУ) (КОД 11192) (-18°С);1х2.2кг;шт;1 073,37
;;"Full-cream ice, natural, Vanilla Bourbon, Premium, 12%, 2,2 kg, ""Filevskoe"", Iceberry, Russia";;;
452;11193;Мороженое Клубника Премиум сливочн 8% 2,2кг/шт ГОСТ БЗМЖ Айсберри (ВМ-1845) (ПУ) (КОД11193) (-18°С);1х2.2кг;шт;1 073,37
;;"Ice cream natural, Strawberry with pieces, 10%, 2 2kg, ""Filevskoe"", Iceberry, Russia";;;
453;51441;Мороженое Клубничное сливочн 8% 2,2кг/шт Стандарт ГОСТ БЗМЖ (ВМ-1820) (ПУ) (КОД 51441)(-18°С);1х2,2кг;шт;718,58
;;;;;
454;49851;Мороженое Пломбир ванильн 15% 2,2кг/шт Стандарт ГОСТ БЗМЖ Айсберри (ВМ-1817) (ПУ) (КОД 49851) (-18°С);1х2,2кг;шт;678,52
;;;;;
455;11191;Мороженое Пломбир ванильный Премиум 15% 2,2кг/шт Филев ГОСТ БЗМЖ Айсберри (ВМ-1843) (ПУ) (КОД 11191)(-18°С);1х2.2кг;шт;1 060,16
;;"Full-cream ice, natural Vanilla, Premium, 15%, 2,2 kg, ""Filevskoe"", Iceberry, Russia";;;
456;11727;Мороженое сливочное с аром дыни Премиум 8% 2.2кг/шт Филевское Айсберри (ВМ-1107) (ПУ) (КОД 11727)(-18°С);1х2.2кг;шт;1 060,16
;;"Ice cream with melon flavour, Premium, 8%, 2,2 kg, ""Filevskoe"", Iceberry, Russia";;;
457;11198;Мороженое Сорбет Манго Премиум 3кг/шт, Айсберри (ВМ-1182) (КОД 11198) (-18°С);1х3кг;шт;1 470,20
;;Sorbet natural, mango, Premium, 0%,3 kg, Iceberry, Russia;;;
458;11196;Мороженое Фисташка с кешью Прем слив 15.6% 2.2кг Филев ГОСТ БЗМЖ Айсберри (ВМ-1137) (ПУ) (КОД 11196) (-18°С);1х2.2кг;шт;1 242,38
;;"Ice cream natural, pistashio with nuts, 12%, 2,2 kg, ""Filevskoe"", Iceberry, Russia";;;
459;11194;Мороженое Шоколад с кус.шок Премиум плом 12% 2,2кг/шт ГОСТ БЗМЖ Айсберри(ВМ-1844)(КОД 11194)(-18°С);1х2.2кг;шт;1 060,16
;;"Full-cream ice, natural, chocolate with pieces , 12%, 2 2kg, ""Filevskoe"", Iceberry, Russia";;;
460;49852;Мороженое Шоколадное сливочн 10% 2,2кг/шт Стандарт ГОСТ БЗМЖ Айсберри (ВМ-1851) (ПУ) (КОД 49852) (-18°С);1х2,2кг;шт;618,1
;;;;;
;;Мороженое Мёвенпик /;;;
461;56478;Мороженое Пломбир Ваниль 14% 2,4л/1,27кг БЗМЖ MONTERRA (31022746) (КОД 56478) (-18°С);2х1,270кг;шт;1 391,30
;;;;;
462;56480;Мороженое Пломбир Грецкий орех 12% 2,4л/1,51кг БЗМЖ MONTERRA (31022747) (КОД 56480) (-18°С);2х1,51кг;шт;1 726,75
;;;;;
463;56514;Мороженое Пломбир Кокос Шоколад 10.5% 2,4л/1,311кг БЗМЖ MONTERRA (31022754) (КОД 56514) (-18°С);2х1,311кг;шт;1 414,15
;;;;;
464;56528;Мороженое Пломбир Манго Сливки 12,5% 2,4л/1,399кг БЗМЖ MONTERRA (31022750) (КОД 56528) (-18°С);2х1,399кг;шт;1 416,79
;;;;;
465;56535;Мороженое Пломбир Тирамису 14% 2,4л/1,4кг БЗМЖ MONTERRA (31022752) (КОД 56535) (-18°С);2х1,400кг;шт;1 731,95
;;;;;
466;56538;Мороженое Пломбир Фисташка 12% 2,4л/1,45кг БЗМЖ MONTERRA (31022755) (КОД 56538) (-18°С);2х1,45кг;шт;1 683,36
;;;;;
467;56540;Мороженое Пломбир Шоколад 10,5% 2,4л/1,39кг БЗМЖ MONTERRA (31022749) (КОД 56540) (-18°С);2х1,39кг;шт;1 378,11
;;;;;
468;56539;Мороженое Пломбир Шоколад Вишневый Торт 9% 2,4л/1,488кг БЗМЖ MONTERRA (31022751) (КОД 56539) (-18°С);2х1,488кг;шт;1 706,60
;;;;;
469;56479;Мороженое Сорбет Малина Клубника 2,4л/1,55кг БЗМЖ MONTERRA (31022748) (КОД 56479) (-18°С);2х1,55кг;шт;1 868,30
;;;;;
;;Сливки /;;;
;;Сливки  Master Martini /;;;
470;97614;Сливки растительные 26% без сах 1л (крем)Tetra pak б/крышки Master Gourmet Италия (КОД 97614) (0°С);12х1л;л;362,88
;;Non-dairy cream 25-26.5%  Master Gourmet, sugar free,  1L, Master Martini, Italy;;;
471;97695;Сливки растительные 27%, с сахаром, 12х1л, крем с ЗМЖ, UTH, D?cor Up, Италия (КОД 97695) (О°С);12х1л;л;336,96
;;Non-dairy cream 27%  D?cor Up, with sugar, 1L, Master Martini, Italy;;;
;;Сливки Петмол /;;;
472;49239;Сливки 33% Петмол™ 1л тетра-пак, UHT, БЗМЖ, Данон Россия (КОД 49239) (О°С);12 х 1л;шт;429,23
;;Cream 33%, 1L, Petmol, Russia;не бьется;;
;;Сливки порционные /;;;
473;49655;Сливки порционные 10% 200шт х 10гр стерил БЗМЖ Кампина™ Россия (КОД 49655) (0°С);200х10гр;кор;948,95
;;"Cream portion pack, 10%, 200pcs*10g, ""Campina"", Russia";;;
;;Сливки прочие /;;;
474;19949;Сливки 10% 1кг TBA Edge ГОСТ БЗМЖ Брянский МК Россия (КОД 19949) (0°С);;шт;187,92
;;;;;
475;58566;Сливки 10% 1л ультрапаст тетра пак(без крышки) ГОСТ БЗМЖ Лужский МК Россия (КОД 58566) (0°С);12х1л;шт;150,25
;;;;;
476;72041;Сливки 10% Чудское озеро™ 1л, tetra-pak, ГОСТ БЗМЖ, Лактис, Россия (КОД 72041) (О°С);12 х 1л;шт;192,16
;;Сream 10%, 1L, Chudskoe ozero, Russia;;;
477;11365;"Сливки 11% ""Молочная речка"" 1кг tetra pak ГОСТ БЗМЖ Милком Россия (КОД 11365) (0°С)";12х1кг;шт;159,38
;;"Cream 11%, 1L, ""Molochnaya rechka"", Russia";;;
478;56161;Сливки 11% 1л ультрапаст ГОСТ БЗМЖ tetra brik (без крышки) Parmalat® Россия (587025)(КОД 56161)(0°С);16х1л;шт;185,97
;;;;;
479;58005;Сливки 20% 1л ультрапаст тетра пак(без крышки) ГОСТ БЗМЖ Лужский МК Россия (КОД 58005) (0°С);12х1л;шт;220,97
;;;;;
480;11366;"Сливки 22% ""Молочная речка"" 1кг tetra pak ГОСТ БЗМЖ Россия (ПУ) (КОД 11366) (0°С)";12х1кг;шт;256,32
;;"Cream 22%, 1L, ""Molochnaya rechka"", Russia";;;
481;49163;Сливки 22% Чудское озеро™ 1л, tetra-pak, ГОСТ БЗМЖ, Лактис, Россия (КОД 49163) (О°С);12 х 1л;шт;318,82
;;Сream 22%, 1L, Chudskoe ozero, Russia;;;
482;49919;Сливки 23% 0,5л крем сливочный для соуса БЗМЖ Parmalat® Россия (КОД 49919) (0°С);12х0,5л;шт;247,02
;;Cream 23%, 0.5L, Parmalat, Russia;;;
483;98010;"Сливки 33% ""Белый Город"" 1л тетра-пак БЗМЖ крем для взбивания UHT, Белгородский МК (КОД 98010) (0°С)";16 х 1л;шт;421,85
;;Cream 33%, 1L, Beliy gorod, Russia;;;
484;11367;"Сливки 33% ""Молочная речка"" 1кг tetra pak БЗМЖ Милком Россия (ПУ) (КОД 11367) (0°С)";12х1кг;шт;368,52
;;"Cream 33%, 1L, ""1L, ""Molochnaya rechka"", Russia";;;
485;19951;Сливки 33% 1кг ГОСТ TBA Edge БЗМЖ Брянский МК Россия (КОД 19951) (0°С);;шт;390,1
;;;;;
486;58008;Сливки 33% 1л ультрапаст тетра пак(без крышки) для взбивания БЗМЖ Лужский МК (КОД 58008) (0°С);12х1л;шт;327,89
;;;;;
487;71792;Сливки 33% Чудское озеро™ 1л тетра пак, д/взбив БЗМЖ, Лактис, Россия (КОД 71792) (0°С);12 х 1л;шт;415,61
;;Сream 33%, 1L, Chudskoe ozero, Russia;не бьется;;
488;55689;Сливки 35% 1л (без крышки) крем сливочный для взбивания UHT БЗМЖ Parmalat® Россия (КОД 55689) (0°С);16 х 1л;шт;454,26
;;;;;
489;35926;Сливки аналог 20% 1л  кулинарный крем на раст.маслах без сахара СЗМЖ, Dally Cream (КОД 35926) (0°С);12х1л;шт;156,08
;;;;;
490;49500;Сливки аналог 26-28% 1л Шантипак сладк.кондит.крем на раст.маслах СЗМЖ, Puratos® (КОД 49500) (0°С);12 х 1л;л;267
;;"Non-dairy topping, sweet, 26-28%, 12*1L, ""Chantypak"", Russia";;;
491;58250;Сливки аналог 26% 1л тетра пак сладкий крем на раст маслах c аром ванили СЗМЖ Dally® Россия (КОД 58250) (0°С);12х1л;шт;180,79
;;;;;
492;52405;Сливки аналог 27% сладк.кондит.крем на раст маслах СЗМЖ 1л Беллария Россия (КОД 52405) (0°С);12х1л;шт;213,84
;;;;;
493;55255;Сливки взбитые спрей 24% 245мл крем на растит.масле СЗМЖ Hulala™ Италия (КОД 55255) (0°С);12х245мл;шт;308,32
;;;;;
494;59431;Сливки взбитые спрей 24% 250гр крем на растит.масле СЗМЖ Фитнес Альпенгурт™ Италия (КОД 59431) (0°С);12х250гр;шт;247,03
;;;;;
;;Сыр /;;;
;;Моццарелла блок /;;;
495;45081;Моцарелла блок ~2кг 40% Gourmet сыр полутвердый БЗМЖ Alti Россия (КОД 45081) (0°С);8х2кг;кг;536,11
;;;;;
496;19412;Моцарелла блок ~2кг 48% Original молокосодерж продукт СЗМЖ Alti™ Россия (КОД 19412) (0°С);8х2кг;кг;439,81
;;;;;
497;59987;Моцарелла блок ~3,5кг 40% Премиум сыр полутвердый БЗМЖ Арена Россия (0008) (КОД 59987) (0°С);3х~3,5кг;кг;495,66
;;;;;
498;98142;Моцарелла блок ~3,6 кг 42% БЗМЖ, S-I-00101, La Paulina, Аргентина (КОД 98142) (0°С);20-22кг;кг;768,92
;;;;;
499;16779;"Моцарелла блок аналог 50% ~2кг ""Pizza Cheese"" белк-жир продукт СЗМЖ Alti Extra (КОД 16779) (0°С)";~2кг х 8;кг;409,84
;;;;;
;;Сыры полутвердые /;;;
500;19318;Сыр Гауда 45% ~5кг/брус БЗМЖ Вамин™ Арча Россия (КОД 19318) (0°С);4х~5кг;кг;557,28
;;;;;
501;48919;"Сыр Гауда 45% блок ~5кг ""Премиум"" ГОСТ БЗМЖ ""Надежда"" респ. Мордовия (КОД 48919) (0°С)";~15кг;кг;561,45
;;;;;
502;49802;"Сыр Голландский 45% ~5кг брус БЗМЖ ГОСТ ""Надежда"" Россия (КОД 49802) (0°С)";3х5кг;кг;586,82
;;;;;
503;20278;Сыр Российский 50% ~5кг/брус БЗМЖ ГОСТ Вамин™ Арча Россия (КОД 20278) (0°С);4х~5кг;кг;570,24
;;;;;
504;30394;Сыр Чеддер (оранж.) 45% блок ~1,5 кг БЗМЖ, Милково® Ува-Молоко Удмуртская Респ.(КОД 30394) (0°С);12-15кг;кг;585,85
;;;;;
505;19709;Сыр Чеддер красный (оранж.) Red 50% ~4 кг блок БЗМЖ Поставы Городок™ Беларусь (КОД 19709) (0°С);5 х 4кг;кг;682,44
;;;;;
506;13579;Сыр Чеддер красный (оранж) 49% ~3кг блок БЗМЖ Великолукский МК Россия (13423) (КОД 13579) (0°С);5 х 3кг;кг;651,44
;;Cheese red (orang) Cheddar 49%, 3kg\block, Velikolukskii MK, Russia;;;
;;Сыры прочие /;;;
507;55345;"Моцарелла кубик 45% 1кг/пакет ""Pizzamaker"" СЗМЖ Мытищинский МЗ Россия (КОД 55345) (-18°С)";10х1кг;шт;460,6
;;;;;
508;37042;Сыр Amber оранж сливочн плавл нарезка 45% 40ломт 500гр флоу-пак МГС БЗМЖ Владпромсыр(КОД 37042)(0°С);12х500гр;шт;297,78
;;;;;
509;19133;Сыр плавленый сливочный 45% 400гр пл/б БЗМЖ ГОСТ President® Россия (27404) (КОД 19133) (0°С);8*400гр;шт;237,04
;;;;;
510;19137;Сыр плавленый сливочный ломтевой 40% 300гр х 8шт пэт БЗМЖ President® Россия (КОД 19137) (0°С);8 х 300гр;шт;204,74
;;;;;
511;16528;Сыр плавленый Янтарь 45% 400гр пл/б БЗМЖ Карат™ Россия (55633812) (КОД 16528) (0°С);16 х 400гр;шт;233,1
;;;;;
512;49264;"Сырный продукт Сычужный ""Деревенский оригинальный"" 45% ~20кг/кор CЗМЖ Вамин (КОР) (КОД 49264) (0°С)";~20кг/кор;кг;403,21
;;;;;
;;Сыры с плесенью /;;;
513;55247;Сыр Камамбер мягкий с бел плес Классический (прямоуг) 50% 125гр БЗМЖ Егорлык Молоко™(КОД 55247)(0°С);6х125гр;шт;158,79
;;;;;
514;11939;Сыр Камамбер мягкий с белой плесенью 50% 125гр х 8шт кор. БЗМЖ Томмолоко Россия(КОД 11939) (0°С);8 х 125гр;шт;172,81
;;"Сheese Camembert ""Blanc"", 50%, 125g/pc, Belgorodskaya oblast'";;;
;;Сыры свежие /;;;
515;96455;Моцарелла в воде Фиор ди латте 45% 220гр (осн.пр.125гр) х 6шт БЗМЖ Galbani Россия (КОД 96455) (0°С);220гр х 6шт;шт;104,85
;;"Cheese Mozzarella Fior di Latte, 125g\pc, ""Galbani"", Russia";;;
516;19129;Сыр Буррата Мини 50% 0,42кг(осн.пр. 0,125кг) х 4 БЗМЖ Galbani® Россия (КОД 19129) (0°С);4 х 125гр;шт;211,18
;;;;;
517;14813;Сыр Маскарпоне 80% 500гр БЗМЖ Galbani® Сомболед Сербия (30516) (КОД 14813) (0°С);12 х 500гр;шт;472,18
;;"Сheese Mascarpone 80%, 500g, ""Galbani""";;;
518;51840;Сыр Маскарпоне 80% 500гр БЗМЖ Santabene Бобровский Сырзавод (ЧЗМ-244) (КОД 51840) (0°С);8х500гр;шт;371,9
;;;;;
519;45303;Сыр Страчателла 52% 250гр БЗМЖ Galbani® Россия (725637) (КОД 45303) (0°С);4х250гр;шт;306,45
;;;;;
520;31753;Фета 35% 330гр рассольный сыр БЗМЖ Comella® Северное Молоко Россия (КОД 31753) (0°С);15 х 330гр;шт;163,3
;;;;;
521;13382;Фета Сиртаки (комб рассольный продукт для греч.салата Cheff) 55% 500гр тетрапак СЗМЖ Египет(КОД 13382)(0°С);12х500гр;шт;226,8
;;"Feta cheese ""Sirtaki"" Original, 55%, 500g x12pcs, Egypt";;;
;;Сыры твердые /;;;
522;10375;Сыр Пармезан «La Paulina» Реджианито 45% 6 мес ~7,3кг/круг X-I-00681 Аргентина (КОД 10375) (0°С);2х7,3кг;кг;1 127,52
;;;;;
523;58560;Сыр Пармезан «Parmesan» 48% 12 мес ~1-1,5кг в/у Parmente™ Сыровар Россия (КОД 58560) (0°С);20х1-1,5кг;кг;1 004,40
;;;;;
524;60182;Сыр Пармезан (типа) Гойя 40% ~3кг/блок Oldenburger™ Бобровский СЗ Россия (КОД 60182) (0°С);~6кг;кг;784,08
;;;;;
;;Сыры творожные /;;;
525;21083;Сыр творожный 70%, 2,2кг Professional Cream Nuvo, БЗМЖ, Смолевичи Молоко, Беларусь (КОД 21083) (0°С);4х2,2кг;шт;969,41
;;;;;
526;24333;Сыр творожный сливочный 65% 2,2кг Cream cheese д/роллов/чизк БЗМЖ, President® Россия(КОД 24333)(0°С);1х2,2кг;шт;1 021,68
;;;;;
527;57871;Сыр творожный сливочный мягкий 65% 2кг пл/в Natura Pro® Preduzece Mlekara Сербия (КОД 57871) (0°С);4х2кг;шт;1 060,14
;;;;;
;;г) Кондитерские товары и ингредиенты /;;;
;;Джемы и мед /;;;
;;Джемы и мед D'ARBO /;;;
528;40970;Джем абрикос ст/б 28грх60/кор D'ARBO Австрия (КОР) (КОД 40970) (+18°С);60*28г;кор;3 542,75
;;Jam apricot, glass, 28 gr, D'ARBO, Austria;;;
529;40971;Джем апельсин ст/б 28грх60/кор Dabro Австрия (КОР) (КОД 40971) (+18°С);60х28г;кор;3 509,94
;;Orange marmelade, portion pack, 28gx60, glass, D'ARBO, Austria;;;
530;45077;Джем вишня ст/б 28грх60/кор D'ARBO Австрия (КОР) (КОД 45077) (+18°С);60х28г;кор;3 509,94
;;Jam cherry, glass, 28 gr, D'ARBO, Austria;;;
531;40973;Джем клубника ст/б 28грх60/кор D'ARBO Австрия (КОР) (КОД 40973) (+18°С);60х28г;кор;3 542,75
;;Strawberry jam, portion pack, 28gx60, glass, D'ARBO, Austria;;;
532;45078;Джем малина ст/б 28грх60/кор D'ARBO Австрия (КОР) (КОД 45078) (+18°С);60х28г;кор;3 542,75
;;Raspberry jam, portion pack, 28gx60, glass, D'ARBO, Austria;;;
;;Другие джемы и мед /;;;
533;49648;Джем абрикос 20грх140/кор дип-пот Руконт Россия (796-2) (КОР) (КОД 49648) (+18°С);140х20гр;кор;683,09
;;Apricot jam, portion pack, 20g*140, plastic, Rukont, Russia;;;
534;90740;Джем абрикос 900гр пл/в Руконт Россия (104102) (КОД 90740) (+18°С);6х900гр;шт;192,6
;;Apricot jam, 900g*6, plastic, Rukont, Russia;;;
535;49651;Джем апельсин 20грх140/кор дип-пот Руконт Россия (796-5) (КОР) (КОД 49651) (+18°С);140х20гр;кор;683,09
;;Orange jam, portion pack, 20g*140, plastic, Rukont, Russia;;;
536;90736;Джем апельсин 900гр пл/в Руконт Россия (104105) (КОД 90736) (+18°С);6х900гр;шт;192,6
;;Orange jam, 900g*6, plastic, Rukont, Russia;;;
537;49649;Джем вишня 20грх140/кор дип-пот Руконт Россия (796-3) (КОР) (КОД 49649) (+18°С);140х20гр;кор;683,09
;;Cherry jam, portion pack, 20g*140, plastic, Rukont, Russia;;;
538;90738;Джем вишня 900гр пл/в Руконт Россия (104103) (КОД 90738) (+18°С);6х900гр;шт;192,6
;;Cherry jam, 900g*6, plastic, Rukont, Russia;;;
539;49647;Джем клубника 20грх140/кор дип-пот Руконт Россия (796-1) (КОР) (КОД 49647) (+18°С);140х20гр;кор;683,09
;;Strawberry jam, portion pack, 20g*140, plastic, Rukont, Russia;;;
540;90649;Джем клубника 900гр пл/в Руконт Россия (КОД 90649) (+18°С);6х900гр;шт;192,6
;;Strawberry jam, 900g*6, plastic, Rukont, Russia;;;
541;49650;Джем малина 20грх140/кор дип-пот Руконт Россия (796-4) (КОР) (КОД 49650) (+18°С);140х20гр;кор;683,09
;;Raspberry jam, portion pack, 20g*140, plastic, Rukont, Russia;;;
