№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
35;54655;Говядина грудной отруб б/к 4-9кг в/у (Brisket Deckle Off120) Primebeef (66370 66943) (КОД 54655) (-18°С);15-21кг;кг;954,98
;;;;;
36;98704;Говядина для запекания б/к зам ~12кг CapMeat Primebeef® (66037,66338) (КОД 98704) (-18°С);10-15кг;кг;835,79
;;Beef Cap Meat boneless, frozen, Primebeef, Russia;;;
37;46519;Говядина для запекания б/к с/м~3кг Cap Meat Primebeef® (КОД 46519) (-18°С);~12кг;кг;750,28
;;;;;
38;46606;Говядина для запекания наруж/ч б/к с/м~2-3кг RumpRoast171Е Primebeef® (79962 79918) (КОД 46606) (-18°С);~20кг;кг;729,3
;;;;;
39;98805;Говядина жир-сырец ангуса подкожный с/м ~25кг блок Primebeef® Заречное (53034) (КОР) (КОД 98805) (-18°С);18кг;кг;344,64
;;;;;
40;54672;Говядина кострец нижняя часть б/к с/м 1,5-4кг (Flap Boneless185А) Primebeef (66369) (КОД 54672) (-18°С);15-21кг;кг;1 337,50
;;;;;
41;46238;Говядина котлетное мясо б/к жилованная 80/20 зам~18кг/блок ПРАЙМ (66156) (КОД 46238) (-18°С);~20кг;кг;400,15
;;;;;
42;57343;Говядина котлетное мясо Тримминг из мрам гов 60/40 ~18-22кг/блок Primebeef® (79960,66150) (КОД 57343)(-18°С);~18-22кг;кг;397,54
;;;;;
43;49114;Говядина котлетное мясо Тримминг из мрам гов 70/30 2х~10кг/кор Primebeef® (66956,66151)(КОР)(КОД 49114)(-18С);~20кг;кг;481,06
;;;;;
44;57201;Говядина котлетное мясо Тримминг из мрам гов 80/20 ~19-27кг/блок Primebeef® (66152) (КОД 57201)(-18°С);~19-27кг;кг;500,5
;;;;;
45;54671;Говядина лопаточный отруб задняя часть б/к с/м 2,2-4,8кг(Clod 114E)Primebeef(66352)(КОД54671)(-18°С);15-21кг;кг;829,3
;;;;;
46;46517;Говядина лопаточный отруб задняя часть б/к с/м~3кг(Clod,114E)Primebeef® (66939) (КОД 46517) (-18°С);~17кг;кг;815,49
;;;;;
47;46604;Говядина мякоть Трай-Тип б/к ~1,3кг (Tri-tip Roast 185D) Primebeef®(66349,66963)(КОД 46604) (-18°С);~10кг;кг;1 149,07
;;;;;
48;46856;Говядина наружн/ч бедра филей б/к ~2,6кг в/у (Eye of Round,171C) Primebeef® (КОД 46856) (-18°С);10-15кг;кг;837,42
;;;;;
49;46584;Говядина подлопат/ч филей ~1,5-2,2кг Дэнвер (Under Blade Central Cut) Primebeef® (КОД 46584) (-18°С);~15кг;кг;1 422,19
;;;;;
50;46586;Говядина подлопаточный отруб Экстра б/к ~4.1кг (ChuckEyeRoll116D) Primebeef® (66941 79904) (КОД 46586) (-18°С);~20кг;кг;689,52
;;;;;
51;47104;Говядина Ребра для гриля ~1,1-1,9кг в/у катВ Prime (ShortRibs123А) Primebeef® (КОД 47104) (-18°С);~16кг;кг;780,35
;;;;;
52;98880;Говядина ребра для гриля ~1,2-1,5 в/у катВ Prime(ShortRibs123) Primebeef®(66018) (КОД 98880) (-18°С);10-15кг;кг;709,87
;;Beef back ribs, frozen, (Short Ribs, 123),Primebeef, Russia;;;
53;47108;Говядина Ребра Кальби с/м ~1,6кг (Short Ribs,) Primebeef® (79933 66974) (КОД 47108) (-18°С);~15кг;кг;1 187,15
;;;;;
54;47701;Говядина Рибай спин отр б/к~4-5кг Choice(Ribeye,Lip-On112A) Primebeef® (66922) (КОД 47701) (-18°С);15-20 кг;кг;2 717,00
;;;;;
55;98715;Говядина рибай спинной отр б/к~5-6кг в/у Prime(RibeyeLip-On112А)Primebeef®(66216)(КОД 98715) (-18°С);10-15кг;кг;3 901,81
;;Beef, Ribeye Lip-On 112A, frozen, Prime, Zarechnoe, Russia;;;
56;46909;Говядина Рибай Спинной отруб б/к зам ~5-6кг Top Choice( Lip-On,112A)(66921,66385)(КОД 46909)(-18°С);~18кг;кг;3 646,50
;;;;;
57;19604;Говядина рибай спинной отруб б/к Экстра ~5-6кг Prime(Roll112) (66217) Primebeef® (КОД 19604) (-18°С);17-19 кг;кг;4 297,37
;;;;;
58;46571;Говядина Рибай Спинной отруб н/к Экстра~7,5кг TopChoice(Rib,Roast-Ready109D) (66932 66815) (КОД 46571) (-18°С);~18кг;кг;2 886,35
;;;;;
59;98803;Говядина стейк портерхаус н/к 0,6-1,2кг в/у лоток (1173) Primebeef® (67017) (КОД 98803) (-18°С);~8кг;кг;3 308,42
;;Beef ribeye steak bone in (Porterhouse), frozen, Primebeef, Russia;;;
60;98802;Говядина стейк тибон н/к 0,5-1,1кг в/у лоток (Т-boneSteak1174) Primebeef®(67022) (КОД 98802) (-18°С);2-4,4кг;кг;3 945,63
;;Beef Т-bone Steak bone in, frozen, Primebeef, Russia;;;
61;46854;Говядина стейк Фланк из пашины б/к~1,8кг(Flank Steak,193) Primebeef(66412,66903)(КОД 46854) ( -18°С);~7кг;кг;1 586,01
;;;;;
62;16337;Говядина Стриплойн Поясн отруб б/к ~3-8кг в/у (Bon180) Primebeef® (66084, 66408) (КОД 16337) (-18°С);~12-21кг;кг;1 235,00
;;;;;
63;47704;Говядина стриплойн поясн отруб б/к ~5кг Choice (180PSO2) Primebeef® (66911) (КОД 47704) ( -18°С);~15кг;кг;1 496,52
;;;;;
64;57452;Говядина суповой набор ~7-9кг/кор Заречное Россия (64054) (КОР) (КОД 57452) (-18°С);~7-9кг;кг;105,39
;;;;;
65;16049;Говядина Фарш 70/30 2кг в/у Ground Beef Classic Primebeef® Россия (67059,67177) (КОД 16049) (-18°С);4х2кг;шт;1 190,38
;;;;;
66;16615;Говядина Фарш 80/20 2кг в/у Ground Beef Primebeef® Россия (65079/78634) (КОД 16615) (-18°С);4х2кг;шт;1 209,88
;;;;;
;;Говядина Праймбиф Компенсат замороженная, Россия /;;;
67;19824;Говядина внутренняя часть т/б отруба б/к огузок~7кг (RoundTop,Inside168) Primebeef® (79922) (КОД 19824)(-18°С);~14кг;кг;751,69
;;;;;
68;19805;Говядина вырезка из лопатки с/м в/у ~1кг(ShoulderTender,114F) Primebeef®(79908) (КОД 19805) (-18°С);~5-15кг;кг;1 352,19
;;;;;
69;19826;Говядина голяшка б/к с/м ~2-3кг(Shank Meat) Primebeef® (79926)(КОД 19826) (-18°С);~17кг;кг;656,34
;;;;;
70;19809;Говядина диафрагма стэйк б/к с/м ~2 кг (Inside Skirt, 121D) (79911 66947) Primebeef® (КОД 19809) ( -18°С);10-15кг;кг;795,6
;;;;;
71;19813;Говядина для запекания б/к с/м ~2-3кг (Cap Meat 109B) Primebeef® (79915 66935) (КОД 19813) (-18°С);~19кг;кг;795,6
;;;;;
72;19790;Говядина лопатка перед/ч б/к с/м ~1,3кгPrime(А) (ChuckTender,116B)Primebeef® (79906 66940) (КОД 19790) (-18°С);~10кг;кг;816,4
;;;;;
73;19804;Говядина лопаточный отр задн/ч б/к с/м ~3,3кгPrime(Clod,114E) Primebeef® (79907)(КОД 19804) (-18°С);~17кг;кг;768,42
;;;;;
74;19821;Говядина наружн/ч бедра филей б/к ~2-2,6кг в/у (Eye of Round,171C) Primebeef® (79919) (КОД 19821) (-18°С);~10-15кг;кг;861,91
;;;;;
75;19819;Говядина Пиканья верх/ч бедра филей б/к ~2кг (TopSirloinCap184D) Primebeef™ (79917 66953) (КОД 19819)(-18°С);~11кг;кг;994,5
;;;;;
76;19828;Говядина подлопат/ч филей ~1,3кг Дэнвер(UnderBlade Cental Cut116G) Primebeef®(79901)(КОД 19828)(-18°С);~12кг;кг;1 231,70
;;;;;
77;19812;Говядина ребра Кальби резаные ~1,6-2кг (Short Ribs Bon In1123) Primebeef® (79903) (КОД 19812) (-18°С);~16кг;кг;1 300,00
;;;;;
;;Говядина Россия прочая /;;;
78;49438;Говядина Вырезка ~1,3-2,9кг пакет ГОСТ Тимашевскмясопродукт Россия (305) (КОД 49438) (-18°С);~22кг;кг;1 235,64
;;;;;
79;60141;Говядина Вырезка ~1,65-2,5кг в/у Купеческое Подворье™ Россия (КОД 60141) (-18°С);~1,65-2,5кг;кг;2 178,00
;;;;;
80;60477;Говядина Вырезка ~2-3,5кг пакет ГОСТ Тимашевскмясопродукт Россия (300) (КОД 60477) (-18°С);~20-23 кг;кг;1 578,76
;;;;;
81;15133;Говядина голяшка б/к ~1,5-2,5кг в/у ГОСТ МК Мелеузовский Россия (КОД 15133) (-18°С);~18-20кг;кг;461,82
;;Shank beef boneless, frozen, Russia;;;
82;45605;Говядина голяшка б/к ~5-7кг в/у ГОСТ Вариант Россия (КОД 45605) (-18°С);~20кг;кг;468,19
;;;;;
83;59236;Говядина грудинка б/к ~4-9кг пакет Бобруйский МК Беларусь (КОД 59236) (-18°С);~25кг;кг;512,05
;;;;;
84;99722;Говядина Грудинка б/к с/м в/у ~2-5 кг/кус (Brisket) ГОСТ (мраморн) Дружба Россия (КОД 99722) (-18°С);~15-20кг;кг;824,67
;;;;;
85;16981;Говядина котлетное мясо б/к (жилованная) 86/14% блок 2х~10кг кор ГОСТ, МД Алтай (КОД 16981) (-18°С);2х10кг;кг;364
;;;;;
86;59238;Говядина котлетное мясо б/к жилован 75/25 ~3-6кг пакет Бобруйский МК Беларусь (КОД 59238) (-18°С);~25кг;кг;388,86
;;;;;
87;56696;Говядина Лопатка б/к ~5-8кг в/у ГОСТ Мясная династия Россия (КОД 56696) (-18°С);~20кг;кг;518,25
;;;;;
88;35805;Говядина лопаточный отруб ~6кг/кус пэт ~18кг/кор ГОСТ Горизонт Россия (КОР) (КОД 35805) (-18°С);~18кг;кг;490,48
;;;;;
89;59615;Говядина лопаточный отруб без голяшки б/к~8-12кг в/у ГОСТ СаТур транс Беларусь (КОД 59615) (-18°С);~18-22кг;кг;532,88
;;;;;
90;59539;Говядина огузок б/к ~4-7кг в/у внутренняя часть т/б отруба мраморн Rosso™ Агромар ТД Россия (КОД 59539)(-18°С);~25-35кг;кг;688,06
;;;;;
91;59233;Говядина огузок б/к внутр часть т/б отруба ~6-12кг пакет Бобруйский МК Беларусь (КОД 59233) (-18°С);~25кг;кг;560,75
;;;;;
92;36918;Говядина Оковалок б/к ~5кг/пак тазоб.отр бок.часть ГОСТ Вариант Россия (КОД 36918) (-18°С);~13-16кг;кг;537,16
;;;;;
93;59232;Говядина оковалок б/к ~6-11кг пакет таз отруб бок часть Бобруйский МК Беларусь (КОД 59232) (-18°С);~25кг;кг;574,09
;;;;;
94;59231;Говядина поясничный отруб б/к зад часть (длин мышца) ~8-10кг пакет Бобруйский МК Беларусь (КОД 59231) (-18°С);~25кг;кг;694,25
;;;;;
95;45401;Говядина Рибай Cпинной отруб б/к мрам гов ~4-10кг в/у Вахавяк+ Беларусь (КОД 45401) (-18°С);~15кг;кг;1 654,91
;;;;;
96;59613;Говядина спинной отруб б/к ~7-10кг в/у ГОСТ СаТур транс Беларусь (КОД 59613) (-18°С);~20-26кг;кг;702
;;;;;
97;59230;Говядина спинной отруб б/к пер часть (длин мышца) ~8-11кг пакет Бобруйский МК Беларусь (КОД 59230) (-18°С);~25кг;кг;700,93
;;;;;
98;45397;Говядина Стриплойн Поясн отруб б/к мраморн ~1,5-4кг в/у вл.созр Вахавяк+ Беларусь (КОД 45397)(-18°С);~20кг;кг;958,67
;;;;;
99;44949;Говядина Стриплойн Поясн отруб б/к Экстра ~2-3 кг Choice, Дружба, Россия (УП) (КОД 44949)(-18°С);15-20 кг;кг;938,66
;;;;;
100;99551;Говядина стриплойн поясн отруб б/к Экстра ~2-3 кг Prime Дружба Россия (КОД 99551) (-18°С);15-20 кг;кг;1 010,00
;;;;;
