Томаты Rosso Gargano Polpa очищенные давленые в собственном соку, 400 г;шт;175,00;;
Томаты Rosso Gargano Pomodorini Черри в собственном соку, 400 г;шт;175,00;;
Томаты Rosso Gargano Cubetti нарезанные кубиками в собственном соку, 400 г;шт;175,00;;
Томаты Rosso Gargano Pelati очищенные целые в собственном соку, 2.55 кг;шт;770,00;;
Томаты Rosso Gargano Pelati очищенные целые в собственном соку, 400 г;шт;175,00;;
Томаты Rosso Gargano Polpa очищенные давленые в собственном соку, 4.05 кг;шт;1050,00;;
;;;;
Свежая паста;;;;
(Спагетти, Лингвине, Ригатони, Казаречче, Паппарделле, Фузилли, Феттуччине);;;;
Свежая паста яичная;кг;415,00;;
Свежая паста без яйца;кг;330,00;;
;;;;
Паста Gragnano in Corsa, Италия;;;;
Паппарделле, 500 гр;шт;450,00;;
Спагетти, 500 гр;шт;450,00;;
Лингвине, 500 гр;шт;450,00;;
Казаречче, 500 гр;шт;450,00;;
Пенне ригате, 500 гр;шт;450,00;;
Лумакони, 500 гр;шт;450,00;;
Каннеллони, 500 гр;шт;450,00;;
;;;;
Паста Granoro;;;;
"Крупа пшеничная Gli Speciali GranOro ""Кускус"" 1000 г";шт;335,00;;
Ньокки (картофельные клецки), 500 гр;шт;235,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 104 ""Трофи"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 177 ""Пенне"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 180 ""Спагетти"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 183 ""Ригатони"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 198 ""Фарфалле"" 500 г";шт;205,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 80 ""Тальятелле Верди"" 500";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 81 ""Тальятелле"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 82  ""Феттуччине"" 500 г";шт;285,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 83 ""Тальолини"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato № 88 ""Казаречче"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato №134 ""Паппарделле"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы GranOro Dedicato №182 ""Лингуине"" 500 г";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы с добавлением яйца GranOro  №116 ""Тальятелл";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы с добавлением яйца GranOro №118 ""Феттуччине";шт;250,00;;
"Макаронные изделия из твердых сортов пшеницы с добавлением яйца GranOro №122 ""Паппардел";шт;250,00;;
;;;;
Рис;;;;
Рис Арборио Ризо Виньола Riso Vignola белый среднезерный, 1 кг;шт;596,00;;
Рис Карнароли Ризо Виньола Riso Vignola белый длиннозёрный, 1 кг;шт;749,00;;
;;;;
Заморозка;;;;
Основа для римской пиццы 20*25 (180 гр) - (минимальный заказ - 25 шт);шт;115,00;;
;;;;
Италия;;;;
Грана подана;кг;2600;;
Пармеджано Реджано;;;;
Пекорино;кг;3250;;
Горгонзола Дольче;;;;
Парма Маттонелла;кг;2700;;
Сыр Тартюффо;;;;
Брезаола;;;;
Спьянатта;;;;
Прошутто МЭК (нога без кости);;;;
