;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист для партнера ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист;;;;;;;;;;;;;;;;;;;;;;;;;
4 сентября 2023 г.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Наименование товаров;Цена за ед.;;Кол-во в упаковке;Страна / Производитель;"Количество на 
складах";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
01. МЯСО, ПТИЦА И МЯСНАЯ ГАСТРОНОМИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
01.1 Мясная гастрономия;;;;;;;;;;;;;;;;;;;;;;;;;
"01.1.03 Мясные изедлия  ""Златиборац""";;;;;;;;;;;;;;;;;;;;;;;;;
			Террин из индейки с каштанами (0,130 кг)  ст.б  упак. 9 шт.;493,54;шт;9;Франция/LES DUCS DE GASCOGNE S.A.S.;27;;;;;;;;;;;;;;;;;;;;
			Террин утиный по старинному рецепту (0,130 кг)  ст.б  упак. 9 шт.;493,54;шт;9;Франция/LES DUCS DE GASCOGNE S.A.S.;28;;;;;;;;;;;;;;;;;;;;
01.1.4 Мясные изделия производителей РФ;;;;;;;;;;;;;;;;;;;;;;;;;
"		Колбаса ""Пепперони "" полусухая  с/к в/у зам. т.м ""СТМ"" (0,500 кг) упак. 25 шт.";249,48;шт;30;"ООО ""Дмитровские колбасы""";171;;;;;;;;;;;;;;;;;;;;
01.1.8 Мясные деликатесы Сытный Дом;;;;;;;;;;;;;;;;;;;;;;;;;
"		Брезаола (говядина сыровяленая) ""Сытный Дом"" (0,070 кг) упак.12 шт Россия";428,95;шт;12;РОССИЯ/ООО Сытный Дом;8;;;;;;;;;;;;;;;;;;;;
"		Снэки из говядины острые  сыровяленые   ""Сытный Дом"" (0,030 кг) упак.22 шт Россия";138,06;шт;22;РОССИЯ/ООО Сытный Дом;2;;;;;;;;;;;;;;;;;;;;
"		Снэки из свинины к пиву сыровяленые   ""Сытный Дом"" (0,030 кг) упак.22 шт Россия";98,06;шт;22;ООО Сытный Дом;4;;;;;;;;;;;;;;;;;;;;
"		Снэки из свинины со специями сыровяленые ""Итальянские""  ""Сытный Дом"" (0,030 кг) упак.22 шт Россия";94,31;шт;22;ООО Сытный Дом;4;;;;;;;;;;;;;;;;;;;;
"		Снэки из свинины сыровяленые ""Классические""  ""Сытный Дом"" (0,030 кг) упак.22 шт Россия";86,94;шт;22;РОССИЯ/ООО Сытный Дом;6;;;;;;;;;;;;;;;;;;;;
01.2 Мясные продукты Замороженные/ Охлажденные;;;;;;;;;;;;;;;;;;;;;;;;;
БАРАНИНА ЗАМОРОЖЕННАЯ:;;;;;;;;;;;;;;;;;;;;;;;;;
			Баранина мол. корейка 8 ребер  зачищ без хребта с шубой с/м ( ~1,0-1,1 кг) упак. 15 кг  РОССИЯ;2 325,04;кг;10,5;"ООО ""ТК Гермес"" (Россия)";35,335;;;;;;;;;;;;;;;;;;;;
ГОВЯДИНА И СУБПРОДУКТЫ ЗАМОРОЖЕННЫЕ;;;;;;;;;;;;;;;;;;;;;;;;;
			Говядина глазной мускул с/м, в/у ~2кг*11 (~22кг) Мираторг;853,75;кг;1;;16,483;;;;;;;;;;;;;;;;;;;;
