;;;Колбаски Ганноверские, 200 ГР -1 ШТ ;170,70
;;;Сосиски Венские  , кг;726,00
;;;СТОЛИЧНЫЙ ТФ;
;;;"Колбаса полусухая категории Б ""Con formaggio blu mirtilli da Chirillo"" (горгонзола, голубика) 140г, шт";275,00
;;;"Колбаса полусухая категории Б ""CON JALAPENO LIME DA CHIRILLO"" (халапеньо, лайм) 140г, шт";247,50
;;;"Колбаса полусухая категории Б ""CON MANGO CHILI DA CHIRILLO"" (манго, чили) 140г, шт";264,00
;;;Колбаса полусухая категории Б «CON MIRTILLI ROSSI DA CHIRILLO» (брусника) 140г, шт;242,00
;;;Колбаса полусухая категории Б «CON TARTUFO DA CHIRILLO» (с ароматом трюфеля) 140г, шт;264,00
;;;Колбаса Спьяната Пиканте (~0.700 кг ) вакуум, кг;1 655,50
;;;"Колбаса Чоризо ""Chorrizo da Chirillo""полусухая, с/в 140 гр , шт";286,00
;;;МЯСО И АРТЕЛЬ;
;;;Колбаса Тартюффо большой диаметр, кг;2025,00
;;;СЫТНЫЙ ДОМ ;
;;;"Брезаола говядина сыровяленая ""SD"" (кусок от 1,2 до 4.0 кг), кг";4 455,00
;;;"Коппа сыровяленая  ""SD"" (кусок от 0,6 до 1,5 кг), кг";2 156,00
;;;"Милано салями с/в ""SD"" ~1.4 кг , кг";1 980,00
;;;"Панчетта сыровяленая ""SD"" , кг (кусок от 0,4 до 0,7 кг) без шкуры, кг";1 606,00
;;;"Прошутто свинина с/в  ""SD"" ~ 4.0 кг, кг";2 893,00
;;;СМАРТ БУЧЕРС (ИТАЛЬЯНЦЫВ РОССИИ);
;;;Брезаола говядина (сыровяленая) СМАРТ, кг;3 245,00
;;;Милано салями ~1,5 кг Итальянец в России, кг;1 980,00
;;;Прошутто Котто - ветчина (окорок) варенная в форме, кг;1 595,00
;;;Прошутто Котто с трюфелем (ветчина вареная), кг;1 705,00
;;;Салями с трюфелем ~ 200 гр, кг;2 337,50
;;;Мортаделла с фисташками;1155
;;;"Грудинка свиная сыровяленая ""Панчета Теза""/pancetta tesa ";1560
;;;РОМАНИШИН;
;;;Бекон Янтарный.Продукт из мяса сыровяленый, категория В. , кг;880,00
;;;"Колбаса "" Любительская из печи"", кг";590,00
;;;"Колбаса ""Краковская"" Мясной продукт категории Б, кг";760,00
;;;"Колбаса ""Сервелат Венский"". (ТМ ""Смоленский фермер"") , кг";722,00
;;;"Колбаса ""Финский сервелат"". Мясное колбасное изделие, кг";720,00
;;;Колбаса Телячья с фисташкой, кг (мортаделла);850,00
;;;Охотничьи колбаски Изделие колбасное , кг;828,00
;;;Панчетта , кг;918,00
;;;Сальчичон, кг;1 172,00
;;;"Сосиски ""Кремовые"". Мясное колбасное изделие, кг";621,00
;;;"Сосиски ""Пражские"". Мясное вареное колбасное изделие, кг";655,00
;;;"Шпик ""Испанский"", кг";642,00
;;;"Шпик по смоленски ""Аппетитный"", кг";642,00
;;;ДОБРОСКО ;
;;;"Говядина с/в ""Ваканза"" ~1.5 кг, кг";3135,00
;;;Мортаделла с фисташками и зеленым перцем, кг;1 045,00
;;;Пармский окорок свиной с/в кусок, кг;2 475,00
;;;"Продукт мясной сырокопченый окорок свиной шпек ""Ваканза"" 2,5 кг, кг";2 227,50
;;;Салями Чоризо Италия, кг;1 485,00
;;;Фуэт классический 110 гр, шт;209,00
;;;Фуэт с трюфелем 110 гр, шт;242,00
;;;АЛЬТО;
;;;Брезаола (Говядина сыровяленая)  кусок Альто, кг;3 333,00
;;;Говядина сыровяленая Брезаола батон под нарезку ~2,5  кг., кг;3 333,00
;;;"Грудинка с/в ""Панчетта Теса"" кусок т.м. ""Alto concetto"" ~1.5 кг, кг";1 430,00
;;;Колбаса сыровяленая Фуэт пикантный 0,170 кг, шт;324,50
;;;"Коппа (Шейка сыровяленая) ~ 1.0 кг ""Alto concetto"", кг";2 156,00
;;;Мини-салями  с/в .(упак. 150гр.), шт;328,90
;;;Мини-салями острые с/в (упак.150 гр.), шт;328,90
;;;Мини-салями с трюфелем с/в .(упак. 150гр.), шт;328,90
;;;"Окорок с/в ""Прошутто"" 2.5 кг брикет, кг";2 337,50
;;;Салями с трюфелем 135 гр, шт;247,50
;;;Чоризо колбаса пикантная (~1,5кг) с/в вакуум, кг;1 815,00
;;;Чоризо колбаса с/в 2шт в спайке вакуум, кг;1 815,00
;;;AGOSTINO RECCA (АНЧОУСЫ);
;;;Анчоусы соленые 1,7 кг ж/б, шт;2 975,50
;;;Паста из анчоусов 60 г, шт;313,50
;;;Сардины соленые 1.7  кг ж/б, шт;1 551,00
;;;ANDREA MILANO (УКСУСЫ);
;;;БАЛЬЗАМИЧЕСКИЙ УКСУС/ СОУС;
;;;Жемчужины бальзамического уксуса 50 гр  , шт;621,50
;;;Жемчужины бальзамического уксуса с трюфелем 50 гр  , шт;660,00
;;;Жемчужины из вишни 50 гр, шт;621,50
;;;Жемчужины лимона 50 гр, шт;621,50
;;;Крем на основе бальзамического уксуса  250 мл пэт, шт;302,50
;;;"Уксус бальзамический   9 лет "" CUBICA"" 250 мл, шт";1 160,50
;;;Уксус бальзамический  0,5 мл выдержка  4 года ,стекло, шт;220,00
;;;"Уксус бальзамический  выдержка 9 лет  6%  т.м.  ""CATTEDRALE, шт";1 160,50
;;;Уксус бальзамический 12 ЛЕТ традиционале 100 МЛ, шт;7 832,00
;;;Уксус бальзамический 25 ЛЕТ традиционале 100 МЛ, шт;15 526,50
;;;Уксус бальзамический 5 л пэт, шт;1 336,50
;;;BONAPTI` (КОНСЕРВАЦИЯ);
;;;АРТИШОКИ;
;;;Артишоки (сердцевины) натуральные 2650 мл, шт;1 336,50
;;;Артишоки c черенком в под.масле 2650 мл, шт;2 816,00
;;;Артишоки в масле, ст. б. 0,280 мл, шт;396,00
;;;Артишоки КОНТАДИНА резаные по 1700 мл, шт;1 666,50
;;;Артишоки на гриле половинки 1700 мл. стекло, шт;2 277,00
;;;Мини сердцевины артишоков в подсолнечном 800 мл, шт;2 013,00
;;;КАПЕРСЫ;
;;;"Каперсы в соли  1000 мл,т.м. ""CANNONE""   , шт";1 210,00
;;;"Каперсы с черенками в винном  в уксусе 1700 мл. т.м. ""CANNONE"", шт";1 666,50
;;;ОВОЩИ НА ГРИЛЕ, ТОМАТЫ СУШЕНЫЕ, ПЕРЕЦ;
;;;Брокколи FRIARIELLI 1062 мл, шт;1 210,00
;;;Грибы маринованные в масле, ст. б. 0,280 мл, шт;456,50
;;;Овощное ассорти в винном уксусе 3100 мл, шт;660,00
;;;Перец пикантный  по 1700 мл, шт;1 167,10
;;;Томаты POLPA ( мякоть томатов)  мешок  10 кг т.м. «BONAPTI», шт;2 805,00
;;;Томаты вяленые  в масле, ст. б. 0,280 мл, шт;429,00
;;;Томаты сушеные  в масле 1400 мл алюминевый пакет, шт;1 621,40
;;;Томаты сушеные  в масле 1700 мл , шт;1 320,00
;;;Томаты сушеные  в масле, пэт 0,270 мл, шт;275,00
;;;Томаты сушеные в подсолнечном масле 3100 мл т.м.BONAPTI, шт;2 554,20
;;;Томаты черри красные полусушеные в подсолнечном масле 980 мл, шт;1 998,70
;;;РЫБНАЯ КОНСЕРВАЦИЯ;
;;;Перец фарш тунцом и каперсами в масле 0,280 мл, шт;638,00
;;;Перец фаршированный тунцом и каперсами в масле,  т.м. BONAPTI 1700 мл, шт;2 871,00
;;;ОЛИВКИ ;
;;;Оливки  KALAMON 4200 мл т.м.BONAPTI'  ж\б , шт;2 365,00
;;;Оливки  KALAMON по 1700 мл стекло, шт;2 035,00
;;;Оливки LECCINE, ст. б. 0 280 мл, шт;489,50
;;;Оливки LECCINE, ст. б. 1.700 мл, шт;2 007,50
;;;"Оливки зеленые 580 мл. т.м.""CANNONE"", шт";493,90
;;;Оливки зеленые Белла ди Чериньола 1700 мл. ст., шт;2 057,00
;;;Оливки зеленые Белла ди Чериньола 4250 мл в ж/б, шт;3 619,00
