;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
СИ-00000968;Свинина корейка н/к в/у с/м, Мираторг, Россия;;Россия;362;РУБ;кор (20 кг);кг
СИ-00000453;Свинина лопатка б/к с/м, Мираторг, Россия;;Россия;380;РУБ;кор (25 кг);кг
СИ-00000612;Свинина окорок б/к с/м, Мираторг, Россия;;Россия;375;РУБ;кор (26 кг);кг
УТ-00015462;"Свинина ребра ""Классические"" в/у с/м, 1010010274, Мираторг, Россия";;Россия;323;РУБ;кор (4.95 кг)  кор (6.03 кг);кг
СП-00000523;Свинина ребра Деликатесные с/м кг, Тамбовский бекон, Россия;;Россия;391;РУБ;кор (16 кг);кг
СИ-00001683;Свинина рулька н/к в/у с/м, Мираторг, Россия;;Россия;193;РУБ;кор (4 кг);кг
СИ-00002147;Свинина шейка б/к в/у с/м, Меркадор, Россия;;Россия;559;РУБ;кор (20 кг);кг
СП-00001236;Свинина шейка б/к с/м кг, Слово Мясника, Россия;;Россия;577;РУБ;кор (18 кг);кг
УТ-00008242;Свинина шейка б/к с/м, Мираторг, Россия;;Россия;559;РУБ;кор (26 180 кг)  кор (27 кг);кг
;Баранина;;;;;;
;Баранина свежемороженная;;;;;;
;Тазобедренная часть свежемороженная;;;;;;
УТ-00001812;Баранина окорок б/к Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;1 079;РУБ;кор (12 кг);кг
;Корейка свежемороженнная;;;;;;
УТ-00020690;Баранина корейка на кости 4 ребра Халяль в/у с/м, 2890, BAZARCo, Россия;;Россия;1 720;РУБ;кор (3 кг)  кор (4 кг);кг
УТ-00019024;Баранина корейка на кости 4 ребра Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;1 354;РУБ;кор (17 кг);кг
УТ-00006316;Баранина корейка на кости 8 ребер Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;1 921;РУБ;кор (15 кг);кг
;Нога свежемороженная;;;;;;
УТ-00020691;Баранина голяшка н/к Халяль в/у с/м, 2878, BAZARCo, Россия;;Россия;547;РУБ;кор (6 кг);кг
;Лопатка свежемороженная;;;;;;
СИ-00000099;Баранина лопатка б/к с/м, Агролайн М, Россия;;Россия;869;РУБ;кор (12 кг);кг
УТ-00020697;Баранина лопатка б/к Халяль в/у с/м, 3288, BAZARCo, Россия;;Россия;1 082;РУБ;кор (7 кг);кг
УТ-00003063;Баранина лопатка б/к Халяль в/у с/м, МИР ВАМ!, Россия;;Россия;955;РУБ;кор (13 кг);кг
;Субпродукты свежемороженные;;;;;;
УТ-00020698;Баранина окорок б/к Халяль в/у с/м, 3289, BAZARCo, Россия;;Россия;1 012;РУБ;кор (7 кг);кг
;Готовые мясные изделия;;;;;;
УТ-00005483;БАСТУРМА сыровяленая Пикантная в/у, NOTOS, Россия;;Россия;1 738;РУБ;кор (10.5 кг);кг
УТ-00017812;Бекон (грудинка) нарезка в/к 500 г с/м, Мясорезка, Россия;;Россия;250;РУБ;кор (20 шт);шт
УТ-00002456;Бекон (грудинка) с/к нарезка 500 г, Таганский, Россия;;Россия;250;РУБ;кор (20 шт);шт
УТ-00015639;"Бекон в/к ""Классический"" нарезка 500 г зам., 1030713105, Черкизово, Россия";;Россия;281;РУБ;кор (6 шт);шт
УТ-00019675;Бекон нарезка с/к 500 г с/м, the ONE, Россия;;Россия;250;РУБ;кор (20 шт);шт
СИ-00002658;Бекон нарезка с/к 500гр в/у с/м Мясницкий Ряд, Россия;;Россия;283;РУБ;кор (10 шт);шт
УТ-00014671;"Говядина ""Пастрами"" в/у ~0,8- 1,5 кг охл, Мясной Дом Бородина, Россия";;Россия;1 888;РУБ;кор (15 кг)  кор (5 кг);кг
СП-00001411;ГОВЯДИНА Отруб Три Тип, б/к, с/м, Мираторг, Россия;;Россия;984;РУБ;;кг
УТ-00020893;"Колбаса с/к ""Пепперони для пиццы"" 500 г нарезка с/м, 1030680805, Черкизово, Россия";;Россия;253;РУБ;кор (12 шт)  кор (6 шт);шт
СП-00003137;"Колбаса с/к ""Пепперони классическая"" 500 г нарезка с/м, 1030680705, ТМ Черкизово, Россия";;Россия;230;РУБ;кор (6 шт);шт
УТ-00012639;"Колбаса с/к ""Салями Пепперони"" для пиццы 1 кг нарезка, Ремит, Россия";;Россия;615;РУБ;кор (5 шт)  кор (8 шт);шт
;Колбасные изделия;;;;;;
УТ-00006199;"Ветчина ""Тост Хэм"" ~3 кг, 1030804220, Черкизово, Россия";;Россия;302;РУБ;кор (9 кг);кг
УТ-00018089;Ветчина для пиццы нарезка 500 г с/м, 1030803005, Черкизово, Россия;;Россия;224;РУБ;кор (6 шт);шт
УТ-00004726;Ветчина из индейки п/о ~2,8 кг, 1030803235, Империя Вкуса, Россия;;Россия;340;РУБ;кор (16 кг)  кор (5.6 кг);кг
УТ-00005482;КОЛБАСА сыровяленая Суджук, NOTOS, Россия;;Россия;1 227;РУБ;кор (10 кг);кг
СИ-00002481;"СОСИСКИ ""Венские"", Торес, Россия";;Россия;662;РУБ;кор (11 кг);кг
УТ-00019695;"Сосиски ""Чикен-спайси"" 750 гр (10х75 г) с/м, Ремит, Россия";;Россия;377;РУБ;кор (12 шт);шт
УТ-00017877;Сосиски для хот-догов говяжьи зам. 750 гр (10х75 г), Ремит, Россия;;Россия;636;РУБ;кор (12 шт);шт
УТ-00018794;"Сосиски куриные ""Сочные"" 750 гр (10х75 г) с/м, Ремит, Россия";;Россия;429;РУБ;кор (1 уп)  кор (10 шт)  кор (12 шт);шт
;;;;;;;
;Птица;;;;;;
;Цыпленок;;;;;;
;Тушки курицы;;;;;;
УТ-00000034;Цыпленок бройлер 0,9 кг с/м, Байсад, Россия;;Россия;235;РУБ;кор (12 кг)  кор (12.6 кг);кг
УТ-00000394;Цыпленок бройлер 1 кг с/м, Байсад, Россия;;Россия;235;РУБ;кор (12 кг);кг
УТ-00007298;Цыпленок бройлер 1,2 кг с/м, Байсад, Россия;;Россия;239;РУБ;кор (12 кг);кг
УТ-00000877;Цыпленок бройлер 1,3 кг с/м, Байсад, Россия;;Россия;237;РУБ;кор (13 кг)  кор (13.6 кг);кг
УТ-00007300;Цыпленок бройлер 1,5 кг с/м, Байсад, Россия;;Россия;236;РУБ;кор (15 кг);кг
УТ-00007301;Цыпленок бройлер 1,6 кг с/м, Байсад, Россия;;Россия;236;РУБ;кор (16 кг);кг
СИ-00001753;Цыпленок тушка (корнишон) 350 с/м, ГКФХ Рыжов, Россия;;Россия;193;РУБ;кор (16 шт);шт
УТ-00014255;Цыпленок тушка (корнишон) 350+ с/м, ГКФХ Нерсисян, Россия;;Россия;173;РУБ;кор (20 шт);шт
СИ-00001829;Цыпленок тушка (корнишон) 400 с/м, ГКФХ Рыжов, Россия;;Россия;199;РУБ;кор (20 шт);шт
СИ-00001752;Цыпленок тушка (корнишон) 450 с/м, ГКФХ Рыжов, Россия;;Россия;205;РУБ;кор (16 шт);шт
