;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
УТ-00015369;Кунжут семена белые необжаренные в/у 1 кг, VAL'DE, Россия;;Россия;339;РУБ;кор (14 шт);шт
УТ-00015442;Кунжут семена белые обжаренные в/у 1 кг, VAL'DE, Россия;;Россия;385;РУБ;кор (14 шт);шт
УТ-00015091;Кунжут семена черные обжаренные в/у 1 кг, VAL'DE, Россия;;Россия;491;РУБ;кор (15 шт);шт
УТ-00001791;Масло кунжутное 1,8 л/1,63 кг, Real Tang, Китай;;Китай;1 018;РУБ;кор (6 шт);шт
СИ-00002530;Масло кунжутное 500 мл ст/бут, Real Tang, Китай;;Китай;340;РУБ;кор (12 шт);шт
УТ-00017853;Соус для Кимчи 1,8 л, Pearl River Bridge, Китай;;Китай;696;РУБ;кор (6 шт);шт
УТ-00015593;Соус для Кимчи 1,8 л, Tamaki, Россия;;Россия;789;РУБ;кор (6 шт);шт
УТ-00015594;Соус для рыбы 1 л УНАГИ, AKISO, Россия;;Россия;220;РУБ;кор (6 шт);шт
УТ-00002534;Соус для рыбы 1,5 л УНАГИ, Genso, Россия;;Россия;383;РУБ;кор (6 шт);шт
УТ-00019504;Соус кунжутный (ореховый) 1,8 л, Истела Роса, Республика Беларусь;;Республика Беларусь;735;РУБ;кор (6 шт);шт
УТ-00008878;Соус кунжутный 1 л, Tamaki, Россия;;Россия;534;РУБ;кор (9 шт);шт
УТ-00004496;Соус рисовый МИРИН ФУ 1 л, Dunkan, Россия;;Россия;120;РУБ;кор (6 шт)  кор (6 шт) в;шт
УТ-00004495;Соус рисовый МИРИН ФУ 20 л, Dunkan, Россия;;Россия;1 943;РУБ;кор (1 шт);шт
УТ-00000353;Соус рыбный 700 мл ст/бут, AROY-D, Таиланд;;Таиланд;280;РУБ;кор (12 шт);шт
УТ-00011163;Соус сладкий чили для курицы 5400 г, AROY-D, Таиланд;;Таиланд;1 280;РУБ;кор (3 шт)  кор (4 шт);шт
УТ-00019476;Соус сладкий Чили пл/б 835 г, CHANG, Тайланд;;Тайланд;272;РУБ;кор (12 шт);шт
УТ-00002478;Соус соевый 20 л премиум, Dunkan, Россия;;Россия;1 918;РУБ;кор (1 шт);шт
УТ-00002604;Соус соевый 20 л/22,8 кг, Baruto, Россия;;Россия;1 471;РУБ;кор (1 шт);шт
УТ-00002603;Соус соевый премиум 1л/1кг, Dunkan, Россия;;Россия;114;РУБ;кор (6 шт);шт
УТ-00008102;Соус Терияки 1,5л/1,7 кг, Genso, Россия;;Россия;348;РУБ;кор (6 шт);шт
УТ-00017969;Соус устричный 2,4 кг, Pearl River Bridge, Китай;;Китай;578;РУБ;кор (6 шт);шт
УТ-00000351;Соус устричный 510 г, Pearl River Bridge, Китай;;Китай;190;РУБ;кор (12 шт);шт
УТ-00007752;Соус черный перечный пл/б 825 г, CHANG, Тайланд;;Тайланд;525;РУБ;кор (12 шт);шт
УТ-00009279;Соус Шрирача 230 г, AROY-D, Таиланд;;Таиланд;104;РУБ;кор (24 шт);шт
УТ-00005340;Соус Шрирача 475 г, UNI-EAGLE, Таиланд;;Таиланд;242;РУБ;кор (12 шт);шт
УТ-00012899;Соус Шрирача 815 г, UNI-EAGLE, Тайланд;;Тайланд;333;РУБ;кор (12 шт);шт
УТ-00005051;Уксус рисовый 1 л, Dunkan, Россия;;Россия;100;РУБ;кор (6 шт);шт
УТ-00003777;Уксус рисовый 20 л, Baruto, Россия;;Россия;1 157;РУБ;кор (1 шт);шт
УТ-00002479;Уксус рисовый 20 л/20,22 кг, Dunkan, Россия;;Россия;1 525;РУБ;кор (1 шт);шт
;Пасты, майонез, творог Тофу;;;;;;
УТ-00001511;"ПАСТА ""Том Кха"" 400 г пл/б, AROY-D, Тайланд";;Тайланд;220;РУБ;кор (24 шт);шт
УТ-00012831;"ПАСТА ""Том Ям"" кисло-сладкая 1 кг, AROY-D, Таиланд";;Таиланд;476;РУБ;кор (12 шт);шт
УТ-00000644;"Паста ""Том Ям"" кисло-сладкая 400 г, AROY-D, Таиланд";;Таиланд;220;РУБ;кор (24 шт);шт
УТ-00003160;ПАСТА карри желтая 400 г, AROY-D, Таиланд;;Таиланд;220;РУБ;кор (12 шт);шт
УТ-00002080;Паста карри красная 400 г, AROY-D, Таиланд;;Таиланд;220;РУБ;кор (24 шт);шт
УТ-00001345;ПАСТА соевая светлая 1 кг ШИРОМИСО, Genso, Китай;;Китай;241;РУБ;кор (10 шт);шт
УТ-00001346;Паста соевая темная 1 кг АКАМИСО, Genso, Китай;;Китай;240;РУБ;кор (10 шт);шт
УТ-00004201;Паста Табаджан 230 г, Pearl River Bridge, Китай;;Китай;144;РУБ;кор (24 шт);шт
УТ-00020514;ТВОРОГ соевый Тофу 500 г (90сут), Genso, Россия;;Россия;192;РУБ;кор (8 шт);шт
;Лапша;;;;;;
СИ-00002488;Бумага рисовая 16 см ~ 20 листов, Real Thay, Тайланд;;Тайланд;115;РУБ;кор (20 шт);шт
УТ-00000356;Бумага рисовая 50 листов, AROY-D, Таиланд;;Таиланд;293;РУБ;кор (44 шт);шт
УТ-00017124;"Лапша гречневая ""СОБА"" 300 г, 03546, Mai Xiang Cun, Китай";;Китай;67;РУБ;кор (40 шт);шт
УТ-00014829;"Лапша гречневая ""СОБА"" 300 г, Kekeshi, Китай";;Китай;62;РУБ;кор (40 шт);шт
УТ-00020638;Лапша гречневая Соба 300 г, Risma, Китай;;Китай;49;РУБ;кор (40 шт);шт
СИ-00001805;ЛАПША гречневая СОБА 400 г, Imperial Cuisine, Россия;;Россия;52;РУБ;кор (20 шт);шт
УТ-00011958;ЛАПША пшеничная УДОН 300 г, Kekeshi, Китай;;Китай;59;РУБ;кор (40 шт);шт
СИ-00001993;ЛАПША пшеничная УДОН 400 г, Imperial Cuisine, Россия;;Россия;53;РУБ;кор (20 шт);шт
УТ-00003708;Лапша рисовая ФУНЧОЗА светлая 500 г (в брикетах), Kekeshi, Китай;;Китай;199;РУБ;кор (30 шт);шт
УТ-00002626;Лапша рисовая Фунчоза светлая 500 г (резаная), Kekeshi, Китай;;Китай;189;РУБ;кор (30 шт);шт
УТ-00008100;"ЛАПША стеклянная резаная 0,8 мм ""Robot"" 300 г, Mai Lao Da, Китай";;Китай;101;РУБ;кор (24 шт);шт
УТ-00001919;Лапша яичная китайская 1 кг, Mai A Yi, Китай;;Китай;278;РУБ;кор (12 шт);шт
;Мука, сухари, мучные изделия;;;;;;
УТ-00014438;СМЕСЬ для теста ТЕМПУРА 1 кг, Kaneshiro, Россия;;Россия;159;РУБ;кор (10 шт);шт
УТ-00018136;Сухари панировочные Панко 1 кг, Hansey, Россия;;Россия;184;РУБ;кор (10 шт);шт
УТ-00009147;СУХАРИ панировочные ПАНКО 1 кг, Kaneshiro, Малайзия;;Малайзия;307;РУБ;кор (10 шт);шт
СИ-00002178;Сухари панировочные Панко 1 кг, Leemon, Россия;;Россия;190;РУБ;кор (10 шт);шт
;Супы, бульоны, приправы;;;;;;
УТ-00016830;"Бульон рыбный ""Хондаши"" 2х500 г, Foodjiko, Китай";;Китай;695;РУБ;кор (10 шт)  кор (5 шт);шт
УТ-00010135;Усилитель вкуса 454 г, Pearl River Bridge, Китай;;Китай;121;РУБ;кор (40 шт);шт
;Консервация для японской кухни;;;;;;
УТ-00000350;Молоко кокосовое 17-19% 400 мл/400 г ж/б, AROY-D, Тайланд/Индонезия;;Тайланд/Индонезия;128;РУБ;кор (24 шт);шт
;Сопутствующие товары;;;;;;
УТ-00003606;ЛИСТЬЯ бамбука просоленные 193 г (100 листьев), Китай;;Китай;288;РУБ;кор (30 шт);шт
;;;;;;;
;Молочная продукция, сыры, яйцо;;;;;;
;Молоко, молочные напитки;;;;;;
;Молоко;;;;;;
СИ-00000836;Молоко 2,5% ультрапастер. 1 л, Милушка, Россия;;Россия;77;РУБ;кор (12 шт);шт
СИ-00001456;Молоко 2,5% ультрапастер. 1 л, Славянский, Россия;;Россия;59;РУБ;кор (12 шт);шт
СИ-00001457;Молоко 3,2% ультрапастер. 1л, Славянский, Россия;;Россия;60;РУБ;;шт
УТ-00004631;Молоко 3,2% ультрапастер. 1л., Любаня из Кубани, Россия;;Россия;73;РУБ;кор (12 шт);шт
СИ-00000782;Молоко 3,2% ультрапастер. 1л., Милушка, Россия;;Россия;77;РУБ;кор (12 шт);шт
СИ-00002276;Молоко 3,2% ультрапастер. 975мл, ГОСТ, (с крышкой) БМК, 325, Россия;;Россия;100;РУБ;кор (12 шт)  кор (6 шт);шт
УТ-00019935;Молоко 3,2% ультрапастер. Professional Line (без крышки) 1л, 0401200253, ЭКОНИВА, Россия;;Россия;88;РУБ;кор (12 шт);шт
УТ-00001948;Молоко 3,5% ультрапастер. 1л с крышкой, 113309, Parmalat, Россия;;Россия;124;РУБ;кор (12 шт);шт
УТ-00001929;Молоко 3,5% ультрапастер. для капучино 1 кг, Чудское озеро, Россия;;Россия;90;РУБ;кор (12 шт);шт
;Сливки;;;;;;
;Сливки;;;;;;
УТ-00021240;Крем для взбивания 22% ультрапастер. с змж 1 л, Элакто Professional, Россия;;Россия;216;РУБ;кор (12 шт);шт
УТ-00001173;Крем сливочный ультрапастер. для взбивания 33% 1 кг, 66195, Петмол, Россия;;Россия;414;РУБ;кор (12 шт);шт
УТ-00002063;Крем сливочный ультрапастер. для взбивания 33% 1 кг, Молочная речка, Россия;;Россия;332;РУБ;кор (12 шт);шт
УТ-00020986;Крем сливочный ультрапастер. для взбивания 33% 1 л, ЛМК, Россия;;Россия;327;РУБ;кор (12 шт);шт
УТ-00017590;Крем сливочный ультрапастер. для взбивания 33% ТУ 1 л, Элакто, Россия;;Россия;313;РУБ;кор (12 шт);шт
СИ-00002277;Сливки 10% ГОСТ 1 кг, 308, БМК, Россия;;Россия;187;РУБ;кор (12 шт)  кор (6 шт);шт
УТ-00019094;Сливки 10% ГОСТ 1 л, Элакто, Россия;;Россия;173;РУБ;кор (12 шт);шт
СИ-00001651;Сливки 11% 1 кг, 143093, Петмол, Россия;;Россия;266;РУБ;кор (12 шт);шт
УТ-00020985;Сливки 20% 1 л, ЛМК, Россия;;Россия;219;РУБ;кор (12 шт);шт
УТ-00019255;Сливки 20% ГОСТ 1 кг, 313, БМК, Россия;;Россия;272;РУБ;кор (12 шт)  кор (6 шт);шт
СИ-00002559;Сливки 20% ГОСТ 500 г (с крышкой), БМК, Россия;;Россия;142;РУБ;кор (12 шт);шт
УТ-00001172;Сливки 22% 1 кг, 189984, Петмол, Россия;;Россия;348;РУБ;кор (12 шт);шт
УТ-00002532;Сливки 22% 1 кг, Молочная речка, Россия;;Россия;241;РУБ;кор (12 шт);шт
УТ-00001926;Сливки 22% 1 л, Чудское озеро, Россия;;Россия;299;РУБ;кор (12 шт);шт
УТ-00018154;Сливки 22% ТУ 1 л, Элакто, Россия;;Россия;253;РУБ;кор (12 шт);шт
УТ-00001191;Сливки 33% 1 л, Чудское озеро, Россия;;Россия;403;РУБ;кор (12 шт);шт
УТ-00019254;Сливки 33% ГОСТ 1 кг (с крышкой), 315, БМК, Россия;;Россия;375;РУБ;кор (12 шт)  кор (6 шт);шт
УТ-00005565;Сливки 34% ГОСТ 1 л, Свежее завтра, Россия;;Россия;385;РУБ;кор (12 шт);шт
;Сливки взбитые;;;;;;
УТ-00020575;"Крем взбитый ""Кулинар"" 26,5% (баллон) 250 г, Альпенгурт, Италия";;Италия;243;РУБ;кор (12 шт);шт
УТ-00021162;"Крем взбитый ""Фитнес"" 24% (баллон) 250 г, Альпенгурт, Италия";;Италия;263;РУБ;кор (12 шт);шт
;Сливки порционные;;;;;;
УТ-00019655;Сливки 10% порц. 10 мл 10 шт/спайка, Campina, Россия;;Россия;44;РУБ;кор (20 шт);шт
УТ-00019654;Сливки 10% порц. 10 мл 10 шт/спайка, Альпенгурт, Россия;;Россия;44;РУБ;кор (20 шт);шт
;Масло сливочное;;;;;;
УТ-00003138;"Масло сливочное 72,5% 10 кг блок ""Крестьянское ОСОБОЕ"", Лучший продукт, Россия";;Россия;2 604;РУБ;кор (1 шт);шт
УТ-00004775;"Масло сливочное 72,5% 5 кг блок ""Крестьянское ОСОБОЕ"", Лучший продукт, Россия";;Россия;1 316;РУБ;кор (1 шт);шт
УТ-00004697;"Масло сливочное 72,5% 500 г ГОСТ ""Крестьянское"", Лучший продукт, Россия";;Россия;155;РУБ;кор (10 шт);шт
УТ-00003674;"МАСЛО сливочное 82,5% 10 кг блок ""Традиционное"", Лучший продукт, Россия";;Россия;3 040;РУБ;кор (1 шт);шт
УТ-00001804;Масло сливочное 82,5% 200 г ГОСТ, Лучший продукт, Россия;;Россия;72;РУБ;кор (30 шт);шт
СИ-00002620;Масло сливочное 82,5% 200 г Синее ГОСТ, Лучший продукт, Россия;;Россия;114;РУБ;кор (30 шт);шт
СИ-00002109;"Масло сливочное 82,5% 375гр, ""BoBo Milk(линкавер), Россия";;Россия;308;РУБ;кор (8 шт);шт
УТ-00012847;Масло сливочное 82,5% 400 г с/м, Тысяча озер, Россия;;Россия;344;РУБ;кор (8 шт);шт
УТ-00019538;Масло сливочное 82,5% 5 кг с/м, 3760, Zealandia Professional, Россия;;Россия;4 332;РУБ;кор (1 шт)  кор (135 шт);шт
СИ-00000009;Масло сливочное 82,5% порц. 10 гр*360 шт ГОСТ, Россия;;Россия;5,44;РУБ;кор (360 шт);шт
УТ-00019539;Масло сливочное 84% 500 г с/м, 3656, Zealandia Professional, Россия;;Россия;444;РУБ;кор (10 шт);шт
СИ-00001583;Масло сливочное несоленое 82% 180 г, President, Россия;;Россия;221;РУБ;;шт
;Маргарин, спред;;;;;;
СИ-00002521;МАРГАРИН для выпечки 60% Gudberg 180г, Россия;;Россия;45;РУБ;кор (30 шт);шт
СИ-00001517;СПРЕД растительно-жировой 82,5% 10 кг, Земляночка, Россия;;Россия;2 500;РУБ;кор (1 шт);шт
СИ-00001305;СПРЕД растительно-жировой 82,5% 5 кг, Земляночка, Россия;;Россия;1 250;РУБ;кор (1 шт);шт
;Сметана, творог, йогурты, сырки;;;;;;
;Сметана;;;;;;
УТ-00003962;СМЕТАННЫЙ продукт 20% 5 кг, Бабулины продукты, Россия;;Россия;495;РУБ;кор (1 шт);шт
;Йогурт;;;;;;
СИ-00002188;"НАПИТОК йогуртный 1,5% ""Альпина Грин"" клубника 5л., Россия";;Россия;505;РУБ;кор (3 шт);шт
СИ-00002189;"НАПИТОК йогуртный 1,5% ""Альпина Грин"" персик 5 л., Россия";;Россия;505;РУБ;кор (3 шт);шт
УТ-00003479;Напиток йогуртный 1,5% клубника ПЭТ 950 г, 340052157, Фругурт, Россия;;Россия;120;РУБ;кор (10 шт)  кор (6 шт);шт
УТ-00003480;Напиток йогуртный 1,5% персик ПЭТ 950 г, 340052158, Фругурт, Россия;;Россия;120;РУБ;кор (10 шт)  кор (6 шт);шт
;Творог, сырки;;;;;;
СИ-00001179;"ТВОРОГ 9% ""Домашний"" 5 кг, Лучший продукт, Россия";;Россия;830;РУБ;;шт
СИ-00002205;"Творожный продукт 9% ""Молочная ферма"" 5 кг, Россия";;Россия;709;РУБ;кор (1 шт);шт
;Молоко сгущенное;;;;;;
СИ-00001085;Молоко сгущенное 8,5% 1,500 г пл/бут, Брасовские сыры, Россия;;Россия;260;РУБ;кор (6 шт);шт
СИ-00001654;Молоко сгущенное 8,5% 1000 г пл/бут, Брасовские сыры, Россия;;Россия;173;РУБ;кор (9 шт);шт
УТ-00018417;Молоко сгущенное вареное 4% 370 г, Любимая классика, Россия;;Россия;92;РУБ;кор (15 шт);шт
СИ-00002293;Молоко сгущеное 8,5% 1000 г пл/бут, АКОМП, Россия;;Россия;164;РУБ;кор (8 шт);шт
СИ-00002331;Молоко сгущеное 8,5% 380 г ж/б ГОСТ, АКОМП, Россия;;Россия;77;РУБ;кор (24 шт);шт
;Сыры;;;;;;
;Мягкие сыры;;;;;;
УТ-00001900;Сыр Маскарпоне 80% 500 г, 30516, Galbani, Сербия;;Сербия;460;РУБ;кор (12 шт);шт
УТ-00005185;СЫР Маскарпоне 80% 500 г, Santabene, Россия;;Россия;369;РУБ;кор (6 шт)  кор (8 шт);шт
СИ-00002527;Сыр Маскарпоне 80% 500 г, пл/с, Pretto, Россия;;Россия;365;РУБ;кор (6 шт);шт
СИ-00002526;Сыр Рикотта 45% 500 г,пл/с, Pretto, Россия;;Россия;196;РУБ;кор (6 шт);шт
УТ-00010765;СЫР творожный Professional 65% 2,2 кг, 725994, President, Россия;;Россия;985;РУБ;кор (1 шт);шт
УТ-00012352;Сыр творожный Professional 65% 2,2 кг, SERVOLUX PROFESSIONAL, Беларусь;;Беларусь;899;РУБ;кор (4 шт);шт
;Полутвердые сыры;;;;;;
СИ-00002156;"Сыр ""Маасдам"" 45%~7кг, круг Рогачев, Республика Беларусь";;Республика Беларусь;670;РУБ;кор (14 кг);кг
СИ-00000420;СЫР Гауда 45% ~ 3-4 кг, Брасовские сыры, Россия;;Россия;411;РУБ;кор (14 кг);кг
СИ-00000635;СЫР Гауда 45% ~ 4-5 кг, Брасовские сыры, Россия;;Россия;388;РУБ;кор (14 926 кг)  кор (14.926 кг);кг
СИ-00002468;Сыр Гауда 45% ~5 кг брус, Агрофирма, Республика Татарстан;;Республика Татарстан;413;РУБ;кор (15 кг);кг
УТ-00019389;Сыр Гауда 45% ~5 кг брус, ВАМИН, Республика Татарстан;;Республика Татарстан;511;РУБ;кор (20 кг);кг
СИ-00001314;Сыр Гауда 50% ~ 2 кг, Сырная Долина, Россия;;Россия;552;РУБ;кор (20 кг);кг
УТ-00020756;Сыр Гауда 50% ~3 кг брус, Рыльский сыродел, Россия;;Россия;512;РУБ;кор (12 кг);кг
СИ-00001003;СЫР Голландский 45% ~ 4-5 кг, Брасовские сыры, Россия;;Россия;403;РУБ;кор (13 кг);кг
СИ-00002469;Сыр Голландский 45% ~5 кг брус, Агрофирма, Республика Татарстан;;Республика Татарстан;413;РУБ;кор (20 кг);кг
УТ-00019388;Сыр Голландский 45% ~5 кг брус, ВАМИН, Республика Татарстан;;Республика Татарстан;510;РУБ;кор (20 кг);кг
СИ-00001201;СЫР Маасдам 45% ~ 6-7 кг (брус), КМЗ, Россия;;Россия;690;РУБ;кор (13 кг);кг
СИ-00002396;Сыр Маасдам 45% нарезка-брусок 200 г, Рогачевъ, Россия;;Россия;150;РУБ;кор (10 шт);шт
УТ-00015128;Сыр Маасдам Elite 45% ~6,5 кг, Новогрудские дары, Республика Беларусь;;Республика Беларусь;603;РУБ;кор (6.9 кг);кг
УТ-00012313;Сыр Моцарелла 40% ~2 кг Gourmet, AltiMilk, Россия;;Россия;515;РУБ;кор (12 кг)  кор (16 кг);кг
УТ-00000770;Сыр Моцарелла 42% ~3,6 кг, 1272, La Paulina, Аргентина;;Аргентина;683;РУБ;кор (18 кг)  кор (21.6 кг);кг
УТ-00019387;Сыр Российский 50% ~ 5 кг брус, ВАМИН, Республика Татарстан;;Республика Татарстан;515;РУБ;кор (20 кг);кг
СИ-00002470;Сыр Российский 50% ~ 5 кг, Агрофирма, Республика Татарстан;;Республика Татарстан;423;РУБ;кор (10 кг);кг
СИ-00001367;СЫР Российский 50% ~2 кг, Сырная Долина, Россия;;Россия;572;РУБ;кор (8 кг);кг
СИ-00001451;СЫР Российский 50% ~3-4 кг, Жинкина Крынка, Россия;;Россия;351;РУБ;кор (12 кг);кг
УТ-00020755;Сыр Российский 50% ~4 кг брус, Рыльский сыродел, Россия;;Россия;522;РУБ;кор (16 кг);кг
СИ-00000398;СЫР Российский 50% ~8 кг, Брасовские сыры, Россия;;Россия;403;РУБ;кор (17,800)  кор (17.8 кг);кг
УТ-00008292;Сыр Скаморца со вкусом копчения ~350 г, Maurizzio Rossini, Россия;;Россия;1 249;РУБ;кор (3 кг);кг
УТ-00004907;Сыр Сулугуни 45% (в) круг/пакет ~700 г, Стародуб, Россия;;Россия;499;РУБ;кор (14 кг);кг
УТ-00004899;СЫР Сулугуни 45% ~ 900 г, Белая река, Россия;;Россия;657;РУБ;кор (6 860 кг)  кор (6.9 кг);кг
УТ-00005750;"Сыр Чеддер красный 50% ""Белые вершины"" ~2,5 кг, Староминский сыродел, Россия";;Россия;784;РУБ;кор (14 кг);кг
УТ-00012759;Сыр Чеддер рыжий 45% ~3,3-3,5 кг (брус), 5474, Радость Вкуса, Россия;;Россия;679;РУБ;кор (18 кг);кг
СИ-00002214;СЫР Чеддер рыжий 50% ~2,5 кг, Mr.Chedder, Россия;;Россия;715;РУБ;кор (15 кг);кг
СИ-00001358;Сыр Эдам 45% ~ 5 кг брус, Стародуб, Россия;;Россия;592;РУБ;кор (18 кг);кг
УТ-00011214;"Сырный продукт (Белково-жировой продукт) для пиццы ""Моцарелла"" 50% 2 кг Extra, AltiMilk, Россия";;Россия;385;РУБ;кор (12 кг)  кор (16 кг);кг
УТ-00012156;Сырный продукт (молокосодержащий с змж) Моцарелла 46%-48% тертый 1 кг Original, AltiMilk, Россия;;Россия;433;РУБ;кор (10 шт);шт
УТ-00012155;Сырный продукт (молокосодержащий с змж) Моцарелла 46-48% ~2 кг Original, AltiMilk, Россия;;Россия;419;РУБ;кор (12 кг)  кор (16 кг)  кор (8 кг);кг
;Твердые сыры;;;;;;
УТ-00000769;Сыр Гойя Пармезан 40% ~4,7 кг, 1269, La Paulina, Аргентина;;Аргентина;1 021;РУБ;кор (20 кг);кг
СИ-00002627;Сыр Пармезан 6 мес 40% ~ 1 кг, выдержанный, Стародуб, Россия;;Россия;948;РУБ;кор (10 кг);кг
УТ-00008784;СЫР Пармезан Гранд 45% 4 кг, Поставы Городок, Беларусь;;Беларусь;646;РУБ;кор (20 кг);кг
УТ-00001875;Сыр Пармезан Реджанито 45% ~7,3 кг, 2952, La Paulina, Аргентина;;Аргентина;1 019;РУБ;кор (15 кг);кг
УТ-00020905;Сыр твердый Пармезан Palermo 6 мес 40% тертый 300 г, 5040, Сыровар, Россия;;Россия;246;РУБ;кор (10 шт);шт
УТ-00019686;Сыр твердый Пармезан Parmente 5 мес 48% ~2,5-3,2 кг, 4744/4830, Дмитровский молочный завод, Россия;;Россия;855;РУБ;кор (5.6 кг);кг
УТ-00020919;Сыр твердый Пармезан Parmente 5 мес 48% ~2,5-3,2 кг, Сыровар, Россия;;Россия;895;РУБ;кор (5.6 кг);кг
;Сыры с плесенью;;;;;;
УТ-00013758;"Сыр с белой плесенью ""Камамбер"" 125 г, Great Kitchen, Россия";;Россия;165;РУБ;кор (8 шт);шт
УТ-00017443;Сыр с белой плесенью Petit Бри 60% 125 г, 725602, President, Россия;;Россия;210;РУБ;кор (8 шт);шт
УТ-00017835;Сыр с белой плесенью Petit Бри 60% 200 г, President, Россия;;Россия;360;РУБ;кор (6 шт);шт
УТ-00018702;"Сыр с голубой плесенью ""Дорблю по-итальянски"" 50% ~1кг, Россия";;Россия;1 059;РУБ;кор (4 кг);кг
СИ-00001901;"Сыр с голубой плесенью ""Рокфорини"" 50%, Кубанская Звездочка, Россия";;Россия;872;РУБ;кор (2.5 кг);кг
СИ-00002524;Сыр с голубой плесенью 50% ~1 кг, Lowenburg, Россия;;Россия;1 128;РУБ;кор (4 кг);кг
УТ-00016726;Сыр с голубой плесенью 50% 100 г, MonBlu, Россия;;Россия;134;РУБ;кор (18 шт);шт
УТ-00017445;Сыр с голубой плесенью 51% ~1,2 кг, 725580, Bridel, Россия;;Россия;1 345;РУБ;кор (2.4 кг);кг
;Рассольные сыры;;;;;;
СИ-00000753;Сыр Моцарелла 45% в рассоле 125 г (6 шт/кор), Galbani, Россия;;Россия;107;РУБ;кор (6 шт);шт
УТ-00014634;Сыр Моцарелла 45% в рассоле мини 150 г (6 шт/кор), 725527, Galbani, Россия;;Россия;157;РУБ;кор (6 шт);шт
УТ-00002170;"Сыр мягкий 45% ""Сербская Брынза"" 450 г (515 г с рассолом), 1807, Mlekara Sabac, Сербия";;Сербия;277;РУБ;кор (12 шт)  кор (6 шт);шт
УТ-00005173;СЫР мягкий в рассоле Фета 35% classic 330 г, Сиртаки, Россия;;Россия;195;РУБ;кор (15 шт);шт
УТ-00005934;Сырный продукт в рассоле Фета 55% original 1000 г, Сиртаки, Египет;;Египет;410;РУБ;кор (12 шт);шт
УТ-00005188;Сырный продукт в рассоле Фета 55% original 330 г (15 шт/кор), Сиртаки, Россия;;Россия;161;РУБ;кор (15 шт);шт
;Плавленые сыры;;;;;;
СИ-00001103;"СЫР плавленный ""Янтарный свет"" 62% 90 г (36 шт/кор), Янтарь, Россия";;Россия;20,24;РУБ;кор (36 шт);шт
СИ-00002083;Сыр плавленный сливочный 50 г. 45% PRESIDENT, Россия;;Россия;38,28;РУБ;кор (60 шт);шт
УТ-00009144;"Сыр плавленый 40% ломтики ""Чеддер"" 150 г, 27348, President, Россия";;Россия;118;РУБ;кор (15 шт);шт
СИ-00002650;СЫР плавленый 45% ломтевой Чеддер 108 ломтиков 1,328 кг, Пир-Пак, Россия;;Россия;965;РУБ;кор (8 шт);шт
СИ-00001600;СЫР плавленый сливочный 45% 400 г, 27404, President, Россия;;Россия;256;РУБ;кор (8 шт);шт
СИ-00002563;СЫР плавленый сливочный 50% 140 г треугольники, Витако, Россия;;Россия;90;РУБ;кор (15 шт);шт
;Яйцо;;;;;;
;Яйцо куриное;;;;;;
СИ-00000725;ЯЙЦО куриное С-1 коричневое 360 шт/кор, Россия;;Россия;9,12;РУБ;кор (360 шт);шт
;Яйцо перепелиное;;;;;;
УТ-00005008;ЯЙЦО перепелиное столовое 20 шт (20 уп/кор), Россия;;Россия;6,32;РУБ;кор (20 шт);шт
;;;;;;;
;Бакалея;;;;;;
;Растительные масла;;;;;;
;Масло растительное;;;;;;
УТ-00012169;Масло из виноградных косточек 1 л ст/б, VV1471, Donna Sofia, Италия;;Италия;708;РУБ;кор (12 шт)  кор (6 шт);шт
УТ-00009559;Масло из виноградных косточек 500 мл ст/б, VV132, Donna Sofia, Италия;;Италия;369;РУБ;кор (12 шт);шт
УТ-00019990;Масло подсолнечное нерафинированное 1 л, Кубаночка, Россия;;Россия;137;РУБ;кор (15 шт);шт
СИ-00001080;Масло подсолнечное нерафинированное 1л., Золотая Семечка, Россия;;Россия;142;РУБ;кор (15 шт);шт
УТ-00000402;Масло подсолнечное рафинированное 1л / 920 г, Sunny Gold, Россия;;Россия;134;РУБ;кор (15 шт);шт
СИ-00002081;Масло подсолнечное рафинированное 5 л./4,6 кг, Краснодарское отборное, Россия;;Россия;606;РУБ;кор (3 шт);шт
УТ-00000664;Масло подсолнечное рафинированное 5л/4,6 кг, Sunny Gold, Россия;;Россия;672;РУБ;кор (3 шт);шт
СИ-00002606;Масло подсолнечное рафинированное дезодорированное (ГК) 1 л/920 г, 11133, 11133, EFKO FOOD Professional, Россия;;Россия;105;РУБ;кор (15 шт);шт
;Масло фритюрное;;;;;;
УТ-00013206;Масло фритюрное (ЖИР) ПЭТ 7,5 л / 6,9 кг 08, Вегафрай, Россия;;Россия;1 142;РУБ;кор (1 шт);шт
УТ-00000459;Масло фритюрное 10 л/ 9,2 кг, Печагин Профи, Россия;;Россия;1 420;РУБ;кор (1 шт);шт
УТ-00018691;Масло фритюрное 5 л/4,6 кг, 11201, EFKO FOOD Professional, Россия;;Россия;683;РУБ;кор (4 шт);шт
УТ-00000403;Масло фритюрное 5 л/4,6 кг, Sunny Gold, Россия;;Россия;720;РУБ;кор (3 шт);шт
