;Альянс Юг ООО;;;;;;;
;г.Краснодар, ОПХ КНИИСХ 1 отдел ул, дом № 35, тел.: (861) 200-27-96;;;;;;;
;;;;;;;;
;-- Доставка продуктов на следующий день после звонка;;;;;;;
;-- Доставка нашим автотранспортом;;;;;;;
;-- Заказы принимаются по многоканальному телефону;;;;;;;
;;;;;;;;
;-- Цены указаны с учетом НДС;;;;;;;
;-- Прием заказов:;;;;;;;
;  С понедельника по субботу с 9.00 до 18.00;;;Ваш менеджер ____________________;;;;
;;;;Тел._____________________________;;;;
;;;;;;;;
;ПРАЙС - ЛИСТ;;;;;;;
;Дата 15.08.2023;;;;;;;
;Артикул;Наименование товара;Произв.;Ед. изм.;Фасовка;Ед. изм. в кор.;Цена за ед.;
;;;;;;;;
;;Креветки, морепродукты;;;;;;
;24170;        Гребешки без икры (10/20) с/м 1кг - Китай;Huludao Chunhe Food;упак;1;10;1 226,00;*
;37374;        Мидии (100/200) в/м 10кг - Чили;Inversiones Coihuin Limitada;упак;10;1;4 309,00;*
;35306;        Мидии (200/300) в/м 10кг - Чили;Inversiones Coihuin Limitada;упак;10;1;3 962,00;*
;35993;        Мидии (200/300) в/м 1кг - Китай;Shengsi Shunda Marine Food;упак;1;10;323,00;*
;36708;        Мидии (200/300) в/м 1кг -Россия;Союз морей;упак;1;10;283,00;*
;38413;        Мидии в голубых раковинах (40/60) в/м 0.5кг - Чили;St. Andrews Smoky Delicacies;упак;0,5;10;160,00;*
;33684;        Мидии в голубых раковинах (40/60) в/м 1кг - Чили;Ria Austral;упак;1;5;323,00;*
;26483;        Мидии в пол. ракушек (30/40) в/м 1кг - Китай;Shengsi Shunda Marine Food;упак;1;12;592,00;*
;34694;"        Моллюски ""Вонголе"" (31/40) в/м 0.5кг - Китай";Huludao Chunhe Food;упак;0,5;20;215,00;*
;20649;        Морской коктейль 1кг - Китай;Zhejiang Zhoufu Food;упак;1;10;317,00;*
;;    Морепродукты: ;;;;;;
;38299;        Рапан, мясо с/м 1кг - Россия;КРК;упак;1;12;450,00;*
;19303;        Улитки в белом соусе в тарелке 0.17кг - Россия;Азов Трейд;упак;0,17;8;225,00;*
;19304;        Улитки по-бургундски в тарелке 0.17кг - Россия;Азов Трейд;упак;0,17;8;225,00;*
;19305;        Улитки по-лимузински в тарелке 0.17кг - Россия;Азов Трейд;упак;0,17;8;225,00;*
;38924;        Улитки по-тайски в тарелке 0.17кг - Россия;Азов Трейд;упак;0,17;10;225,00;*
;;    Морепродукты:;;;;;;
;22542;"        Кальмар тушка ""Командорский"" с/м 11кг - Россия";НБАМР;упак;11;2;4 212,00;*
;27167;"        Кальмар тушка ""Командорский"" с/м 1кг - Океан Вкуса";Ново-Мар;упак;1;9;418,00;*
;38256;        Кальмар филе очищен. U10 с/м 1кг - Китай;Donggang Jinhui Foodstuff;упак;1;10;586,00;*
;37254;"        Кальмар щупальца ""Командорский"" с/м 12кг - Россия";Роскамрыба;упак;12;2;5 001,00;*
;40030;"        Кальмар щупальца ""Командорский"" с/м 22кг - Россия";Сахалинрыбаксоюз;упак;22;1;10 313,00;*
;37655;        Кальмар кольца в панировке с/м 0.5кг - Россия;ФРОСТ-А;упак;0,5;12;287,00;*
;38713;        Осьминог целый (0.5-1кг) с/м вес. - Индонезия;Kelola Mina Laut;кг;1;1;707,00;*
;32853;        Осьминог целый (1.2-1.5кг) с/м вес. - Марокко;Derhem Seafood;кг;1;1;1 650,00;*
;24429;        Осьминог целый (1.5-2кг) с/м вес. - Марокко;Derhem Seafood;кг;1;1;1 650,00;*
;27326;        Осьминог целый (1.5-2кг) с/м вес. - Марокко;SOCOPO;кг;1;1;1 650,00;*
;26822;        Осьминог целый (2-3кг) с/м вес. - Марокко;SOCOPO;кг;1;1;1 650,00;*
;30603;        Осьминог целый с/м вес. - Индонезия;CV. Prima Indo Tuna;кг;1;1;1 383,00;*
;26823;        Осьминог целый (3-4кг) с/м вес. - Марокко;SOCOPO;кг;1;1;1 690,00;*
;30210;        Осьминог целый (4-5кг) с/м вес. - Марокко;Derhem Seafood;кг;1;1;1 690,00;*
;26824;        Осьминог целый (4-6кг) с/м вес. - Марокко;SOCOPO;кг;1;1;1 690,00;*
;20895;        Осьминоги молодые (40/60) с/м 1кг - Вьетнам;Kien Cuong Seafood;упак;1;10;740,00;*
;40034;        Осьминоги молодые (40/60) с/м 1кг - Египет;King Fish for Investment;упак;1;9;683,00;*
;;    Икра, крабы;;;;;;
;39311;"        Икра ""Масаго"" малиновая 0.5кг - Nihao";Рыбпром;упак;0,5;20;425,00;*
;39309;"        Икра ""Масаго"" оранжевая 0.5кг - Nihao";Рыбпром;упак;0,5;20;425,00;*
;36290;"        Икра ""Масаго"" оранжевая 0.5кг - Умами";Прилов;упак;0,5;6;555,00;*
;;Рыба;;;;;;
;;    Слабосоленая и копченая рыба;;;;;;
;34528;        Кларий угревидный филе жареный вес. - Россия;Панинское;кг;1;1;809,00;*
;39452;        Угорь филе н/к (16-18 oz) жареный вес. - Risma;Chengdu Sea-Light Food;кг;1;1;1 648,00;*
;39554;        Угорь филе н/к (16-18 oz) жареный вес. - Sango;Wuyishan Hande Food;кг;1;1;1 599,00;*
;36272;        Угорь филе н/к (16-18 oz) жареный вес. - Китай;Foshan Shunde Ho Roun Food Products;кг;1;1;1 672,00;*
;38741;        Угорь филе н/к (16-20 oz) жареный вес. - Китай;Foshan Shunde Ho Roun Food Products;кг;1;1;1 640,00;*
;34123;        Угорь филе н/к (9 oz) жареный вес. - Cho Premium;Fujian Huanong Food;кг;1;1;1 750,00;*
;32174;        Лосось филе н/к (1.5-2) с/с вес. - Россия;Лебедь;кг;1;1;1 961,00;*
;32172;        Лосось филе н/к (1.5-2) х/к вес. - Россия;Лебедь;кг;1;1;1 999,00;*
;37787;        Лосось филе-ломтики б/к (~1кг) с/с вес. - Россия;Фуд Тим;кг;1;1;883,00;*
;37848;        Лосось филе-ломтики б/к (~1кг) х/к вес. - Россия;Фуд Тим;кг;1;1;697,00;*
;37858;        Масляная рыба филе н/к (1-2) х/к вес. - Россия;Фуд Тим;кг;1;1;873,00;*
;35077;        Масляная рыба филе н/к (1-2) х/к вес. - Россия;Лебедь;кг;1;1;821,00;*
;29500;        Масляная рыба филе н/к (2-3) х/к вес. - Россия;Лебедь;кг;1;1;968,00;*
;26838;        Сельдь филе в масле 1кг - Океан Вкуса;Ново-Мар;упак;1;4;318,00;*
;27417;        Форель филе н/к (1.5-2) с/с вес. - Беларусь;Продэксим;кг;1;1;1 788,00;*
;38278;        Форель филе н/к (2-2.5) с/с вес. - Беларусь;Регионфиш;кг;1;1;2 064,00;*
