Ценовая зона;Категория;Артикул;Названия артикула;Вложение;Цена без НДС;Цена с НДС;Дата старта;Дата завершения;
Sochi;Sweets;586879;20ШТХ2Г ЧАЙНЫЙ НАПИТОК RIOBA РОЙБУШ ЗЕМЛЯНИЧНЫЙ;1;186,38;223,66;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;586879;20ШТХ2Г ЧАЙНЫЙ НАПИТОК RIOBA РОЙБУШ ЗЕМЛЯНИЧНЫЙ;1;186,38;223,66;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;137870;500Г ЧИПСЫ КУКУРУЗНЫЕ DELICADOS СЫР;1;144,21;158,63;14 Sept 2023;20 Sept 2023;
Sochi;Sweets;138161;800Г МИНИ-ШОКОЛАД RIOBA АССОРТИ 6 ВКУСОВ;1;428,36;514,03;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;138161;800Г МИНИ-ШОКОЛАД RIOBA АССОРТИ 6 ВКУСОВ;1;428,36;514,03;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;138161;800Г МИНИ-ШОКОЛАД RIOBA АССОРТИ 6 ВКУСОВ;1;428,36;514,03;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;586879;20ШТХ2Г ЧАЙНЫЙ НАПИТОК RIOBA РОЙБУШ ЗЕМЛЯНИЧНЫЙ;1;186,38;223,66;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;466446;100Х2Г ЧАЙ ЧЕР ЛИСМА КРЕПК;1;134,75;161,7;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;586897;1КГ КОФЕ LAVAZZA CREM AROM ЗЕР;1;1854,43;2225,32;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;90519;85Г ШОКОЛАД МОЛОЧНЫЙ ALPEN GOLD ФУНДУК_ИЗЮМ;1;49,79;59,75;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;215682;1КГ КОФЕ JARDIN ORIGINAL ORO ЗЕРНОВОЙ;1;1176,54;1411,85;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;215682;1КГ КОФЕ JARDIN ORIGINAL ORO ЗЕРНОВОЙ;1;1176,54;1411,85;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;589294;300Г ВАФЛИ ЯШКИНО ШОКОЛАДНЫЕ;1;58,64;70,37;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;589302;200Г ВАФЛИ ЯШКИНО ФУНДУК;1;51,41;61,69;14 Sept 2023;20 Sept 2023;
Sochi;Sweets;363767;81Г ШОКОЛАДНЫЙ БАТОНЧИК SNICKERS С ЛЕСНЫМ ОРЕХОМ;1;51,88;62,26;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;467340;100Г ШОКОЛАД KINDER 8 ПОРЦИЙ;1;99,94;119,93;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;554772;1КГ ГОРЯЧИЙ ШОКОЛАД RIOBA;1;524,13;628,96;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;554772;1КГ ГОРЯЧИЙ ШОКОЛАД RIOBA;1;524,13;628,96;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;109570;100Г ШОКОЛАД RIOBA ГОРЬКИЙ МИНД_ЦУКАТЫ АПЕЛЬС;1;72,53;87,04;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;109569;100Г ШОКОЛАД RIOBA ГОРЬКИЙ С МАЛИНОЙ;1;91;109,2;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;8352;16ШТХ7Г КОФЕ RIOBA DOLCE GUSTO AMERICANO КАПСУЛЫ;1;349,12;418,94;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;8352;16ШТХ7Г КОФЕ RIOBA DOLCE GUSTO AMERICANO КАПСУЛЫ;1;349,12;418,94;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;109569;100Г ШОКОЛАД RIOBA ГОРЬКИЙ С МАЛИНОЙ;1;91;109,2;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;8352;16ШТХ7Г КОФЕ RIOBA DOLCE GUSTO AMERICANO КАПСУЛЫ;1;349,12;418,94;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;59409;1КГ КОФЕ FRESCO SOLO ЗЕРНО;1;856,62;1027,94;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;389641;50ШТX20Г КОФЕЙНЫЙ НАПИТОК MACCOFFEE 3В1 ORIGINAL;1;497,88;597,46;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;389641;50ШТX20Г КОФЕЙНЫЙ НАПИТОК MACCOFFEE 3В1 ORIGINAL;1;497,88;597,46;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;109569;100Г ШОКОЛАД RIOBA ГОРЬКИЙ С МАЛИНОЙ;1;91;109,2;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;109568;100Г ШОКОЛАД RIOBA ГОРЬКИЙ МИНДАЛЬ_ФИСТАШКА;1;72,53;87,04;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;122743;900Г КОФЕ NESCAFE GOLD РАСТВОРИМЫЙ ПАКЕТ;1;1715,8;2058,96;14 Sept 2023;20 Sept 2023;
Sochi;Sweets;12471;50Г ШОКОЛАДНЫЙ БАТОНЧИК MARS НУГА_КАРАМЕЛЬ;36;1212,44;1454,93;7 Sept 2023;4 Oct 2023;
Sochi;Sweets;100815;10ШТХ5,6Г КОФЕ JULIUS MEINL ESPRESSO КАПСУЛ БИОРАЗЛ;1;335,34;402,41;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;12471;50Г ШОКОЛАДНЫЙ БАТОНЧИК MARS НУГА_КАРАМЕЛЬ;36;1212,44;1454,93;23 Aug 2023;19 Sept 2023;
Sochi;Sweets;12471;50Г ШОКОЛАДНЫЙ БАТОНЧИК MARS НУГА_КАРАМЕЛЬ;36;1212,44;1454,93;16 Sept 2023;13 Oct 2023;
Sochi;Sweets;109568;100Г ШОКОЛАД RIOBA ГОРЬКИЙ МИНДАЛЬ_ФИСТАШКА;1;72,53;87,04;16 Sept 2023;13 Oct 2023;
