Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;103546;;;;Толстый край говяжий б/к (Rib/Рибай) Prime охл. Black Angus Мираторг ~ 5,5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,5;;;5,5;;;кг;;;5271,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112047;;;;Толстый край говяжий б/к (Рибай 7 реб) CHOICE охл. Black Angus Мираторг ~ 6,2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,4;;;6,2;;;кг;;;3869,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;108016;;;;Тонкий край говяжий б/к (Стриплоин) Prime охл. Black Angus Мираторг ~ 6кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;6;;;кг;;;3499,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112048;;;;Тонкий край говяжий б/к (Стриплоин1р) CHOICE охл. Black Angus Мираторг ~ 5,5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;5,5;;;кг;;;1690,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115558;;;;Тонкий край говяжий охл. Matured Beef Мираторг ~ 4,7 кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,4;;;4,7;;;кг;;;1129,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115797;;;;Топ Блейд говяжий (верхняя часть лопатки) Matured Beef охл. Мираторг - 2.6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;кг;;;769,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115710;;;;Филей наружной части бедра(Глазной мускул) Eye of Round охл. ВладБиф 2,5-2,7кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,5;;;2,5;;;кг;;;896,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115699;;;;Филей подлопаточной части Denver охл. ВладБиф - 2,1кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,8;;;2,1;;;кг;;;1585,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115665;;;;Шейный отруб говяжий Chuck Boneless  б/к охл. ВладБиф - 2,5кг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,94;;;2,49;;;кг;;;769,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112050;;;;Шея говяжья б/к охл. Black Angus Мираторг ~ 2,5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;2,5;;;кг;;;899,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мясо и п/ф охл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;57050;;;;Колбаски cвино-говяжьи для гриля охл. Мираторг ~ 0,4 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;4;;;шт;;;185,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112989;;;;Колбаски Тирольские Мираторг охл. 400 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;1;;;шт;;;176,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;107635;;;;Колбаски чевапчичи из мраморной говядины Black Angus охл. лоток Мираторг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;1;;;шт;;;177,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;108412;;;;Фарш говяжий 80/20 охл. Black Angus Мираторг ~ 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;8;;;кг;;;518,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;91944;;;;Окорок свиной б/к в/у охл. Тамбовский бекон ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;10;;;кг;;;379,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;91944;;;;Окорок свиной б/к в/у охл. Тамбовский бекон ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;10;;;кг;;;379,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;48743;;;;Окорок свиной б/к охл. в/у Атяшевский МПК ~ 8 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;8;;;кг;;;399,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115443;;;;Окорок свиной б/к охл. в/у. Семидаль ~ 8 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;8;;;кг;;;420,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;106024;;;;Окорок свиной охл. б/к в/у Мираторг ~ 9 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;9,66;;;кг;;;399,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;104934;;;;Ребрышки свиные деликатесные охл. Мираторг ~ 600 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;0,6;;;кг;;;537,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;103483;;;;Ребрышки свиные охл. Тамбовский Бекон ~ 2,5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;5;;;кг;;;475,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110215;;;;Шейка свиная б/к в/у охл. Мясная лига Тамбовский бекон ~ 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;2;;;кг;;;325,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;91946;;;;Шейка свиная б/к в/у охл. Тамбовский бекон ~ 3,5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;3,5;;;кг;;;531,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;43696;;;;Шейка свиная б/к охл. в/у Атяшевский МПК ~ 8 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;8;;;кг;;;490,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115445;;;;Шейка свиная б/к охл. в/у Семидаль ~ 2,7 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;2,7;;;кг;;;465,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112938;;;;Шейка свиная охл б/к Мираторг - 3.2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;3,2;;;кг;;;499,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Непродовольственные товары;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Для хранения и приготовления пищи;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;103703;;;;Бумага для выпечки коричневая 38 см*50 м;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;549,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115638;;;;Бумага для выпечки коричневая 38см*50м Техтор Masterbake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;2;;;шт;;;435,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115222;;;;Бумага для выпечки коричневая 38см*50м Техтор Masterbake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;455,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111075;;;;Крышка для формы алюминиевой (касалетки) 440*100 уп/шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1200;;;100;;;шт;;;2,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116183;;;;Крышка для формы алюминиевой (касалетки) 865мл 50шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;;;50;;;шт;;;2,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;99989;;;;Мешок конд.одноразовый 45 см в пласте 100 шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;1;;;упак.;;;638,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;99988;;;;Мешок конд.одноразовый 53 см рулон 100 шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;1;;;шт;;;1916,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;99988;;;;Мешок конд.одноразовый 53 см рулон 100 шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;1;;;шт;;;1916,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102919;;;;Пергамент пищевой резанный белый 380х470 мм марка А (~600 листов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;упак.;;;2978,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111434;;;;Пищевая пленка белая в инд. упаковке Десногор300мм*200м (В);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;2;;;шт;;;160,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92317;;;;Пищевая пленка белая Десногор 300мм*200м;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;2;;;шт;;;129,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111061;;;;Пищевая пленка белая Десногор 450мм*200м;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;2;;;шт;;;187,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112602;;;;Контейнер круглый черный д-144 мм ПП 375 мл* 300 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;300;;;шт;;;7,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110241;;;;Контейнер прозрачный ИП-51 314х192х58 мм 150 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;150;;;шт;;;36,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110548;;;;Контейнер прямоугольный 108х82 мм прозрачный ПП 250 мл 100 шт ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;100;;;шт;;;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110763;;;;Контейнер прямоугольный 138*102*59 мм ПП 500 мл 100 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;100;;;шт;;;4,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110243;;;;Контейнер прямоугольный 139*102*39 мм с ребрами ПП 350 мл 50 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;50;;;шт;;;3,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110244;;;;Контейнер прямоугольный 139*102*56 мм с ребрами ПП 500 мл 50 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;50;;;шт;;;4,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111108;;;;Контейнер прямоугольный 179х132х37 мм прозрачный ПП 500 мл 50 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;50;;;шт;;;4,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111107;;;;Контейнер прямоугольный 179х132х49 мм прозрачный ПП 750 мл 50 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;50;;;шт;;;4,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110245;;;;Контейнер прямоугольный 179х132х64 мм прозрачный ПП 1000 мл 50 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;50;;;шт;;;6,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116187;;;;Контейнер с неразъемной крышкой  РК-35 1800мл 240шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240;;;240;;;шт;;;8,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115589;;;;Контейнер с неразъемной крышкой овальный 580х385х530 ПП500мл 546шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;546;;;546;;;шт;;;4,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110246;;;;Контейнер с неразъемной крышкой РК 10 400 мл 600 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;;;600;;;шт;;;6,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110247;;;;Контейнер с неразъемной крышкой РК 21 1550 мл 400 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;;;400;;;шт;;;10,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110242;;;;Контейнер с неразъемной крышкой РК-19 800 мл 480 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480;;;480;;;шт;;;9,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116290;;;;Контейнер с неразъемной крышкой Рк-50 2250мл 180шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;;;180;;;шт;;;25,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115085;;;;Контейнер с окном 170*65*40 мм 500 мл 350шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;;;350;;;шт;;;8,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115086;;;;Контейнер с окном 200*120*40 мм 1000 мл 250 шт ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;;;250;;;шт;;;13,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115087;;;;Контейнер с окном 200*200*40 мм 1500 мл 150 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;150;;;шт;;;16,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110248;;;;Крышка для контейнера д-115 мм 500 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;500;;;шт;;;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110492;;;;Крышка для контейнера д-144 мм 300 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;300;;;шт;;;4,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110251;;;;Крышка для контейнеров 139х102 мм прозрачная 100 шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;100;;;шт;;;2,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110250;;;;Крышка для контейнеров 185х140 мм прозрачная 50 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;50;;;шт;;;3,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110547;;;;Крышка для контейнеров108*82 мм прозрачная 100 шт/уп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;100;;;шт;;;1,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110764;;;;Крышка для контейнеров138*102 мм прозрачная 100 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;100;;;шт;;;2,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110285;;;;Крышка для суповой миски 410 мл 576 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576;;;576;;;шт;;;2,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110487;;;;Крышка к супнице прозрачная d121 мм 500 мл 500 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;500;;;шт;;;4,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;106351;;;;Средство концентрированное дезинфицирующее и моющее БонЭкстра 5 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;;;шт;;;3118,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109666;;;;Средство нейтральное для мытья пола Floor wash канистра 5,1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;1;;;шт;;;1082,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105731;;;;Средство пенное дезинфицирующе с моющим эффектом Хипофом 20 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;9535,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102810;;;;Средство щелочное моющее Пром-Актив 10 л*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1715,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115417;;;;Средство щелочное моющее с хлором Aquachlor-f 20 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;2975,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115976;;;;Чистящее средство Ника Хвойный Лес 550г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;1;;;шт;;;93,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105677;;;;Чистящее средство Пемолюкс 480 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;2;;;шт;;;135,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Непродовольственные товары;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113082;;;;Бумага туалетная SunDay 2 слоя 24 рулона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;349,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113087;;;;Ватные диски Lure 150 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;1;;;шт;;;70,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113224;;;;Гель Чистящий Универсальный DOS GEL 750 Мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;82,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113340;;;;Губка для тела Помощница массажная;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;1;;;шт;;;36,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115002;;;;Жидкость для Розжига №11л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;1;;;шт;;;85,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114999;;;;Мангал сборный 350х250х345мм Сталь 0,35-0,4мм. Без шампуров;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;221,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115000;;;;Набор Шампуров в Рукаве 610*10*1мм 5шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;95,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113530;;;;Салфетки Big City Life Фламенко Универсальные 3 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;;1;;;шт;;;77,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113054;;;;Скребок для посуды Помощница нержавеющая спираль 2 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;1;;;шт;;;27,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;63768;;;;Тарелка черная D=220 мм 750 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750;;;750;;;шт;;;7,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113083;;;;Туалетная Бумага Ova 3 Слоя 4 Рулона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;1;;;шт;;;93,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;113162;;;;Туалетная Бумага Ova 3 Слоя 8 Рулонов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;172,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;104098;;;;Упаковка для пирожных дизайн №4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;24,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Освежитель воздуха;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
