Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115945;;;;"Горбуша потр. б/г зам.""ПБТФ"" 500-600г 20кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;259,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Замороженные продукты;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аппетайзеры;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105431;;;;Грибы белые целые 4-6 см Россия ~ 3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;кг;;;949,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111333;;;;Грибы белые целые 4-6 см Россия 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;994,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105468;;;;Грибы белые целые 6-8 см зам. Россия ~ 3 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;кг;;;899,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116153;;;;Грибы белые целые/резанные 1 сорт. 6-8 см Россия ~ 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;кг;;;719,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102445;;;;Грибы лисички зам. Россия ~ 8 кг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;8;;;кг;;;479,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;104768;;;;Грибы лисички зам. Россия 1 кг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;шт;;;549,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;48193;;;;Грибы опята зам. Китай ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;299,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111304;;;;Грибы опята зам. Россия ~ 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;329,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105776;;;;Грибы шампиньоны зам. ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;109,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111305;;;;Грибы шампиньоны резаные зам. ~ 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;2;;;шт;;;139,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Замороженные овощи;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;108373;;;;Бобы соевые Эдамаме зеленые в стручке зам 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;469,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111331;;;;Бобы соевые Эдамаме зеленые очищенные зам 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;479,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;94055;;;;Горошек зеленый зам. ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;159,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115790;;;;Горошек зеленый зам. Smart Chef 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;169,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115561;;;;Европейская овощная смесь зам. Россия ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;189,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111307;;;;Итальянская смесь зам. Россия ~ 1 кг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;259,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109216;;;;Итальянская смесь зам. Россия ~ 10 кг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;244,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114384;;;;Капуста брокколи зам. Smart Chef 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;219,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115775;;;;Капуста брокколи зам. Египет ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;164,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116068;;;;Капуста брокколи зам. Узбекистан ~ 8 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;8;;;кг;;;179,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;98110;;;;Капуста брюссельская зам. ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;254,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111319;;;;Капуста брюссельская зам. Китай 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;264,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105977;;;;Капуста цветная зам. ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;154,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114386;;;;Капуста цветная зам. Smart Chef 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;179,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116420;;;;Капуста цветная зам. Узбекистан ~ 9-10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;9;;;кг;;;164,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
