;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Десерты - Пирожные;;;;
Торт бисквитный Шоколадный 1,35кг / Питер Фрост;шт;1253;;
Торт Грушевый с рикоттой 1,35кг / Питер Фрост;шт;1352;;
Торт Захер 1,35кг / Питер Фрост;шт;1000;;
Торт Захер 2,24кг (16 порций) / Десерт Фентези;шт;1839;;
Торт Красный Бархат бисквитный 1,5кг (12 порций) / Питер Фрост;шт;1525;;
Торт крошковый Чизкейк фисташковый 1,5 кг / Питер Фрост ООО;шт;1750;;
Торт Медовик 1,4кг / Чизберри;шт;1328;;
Торт Медовик 1,7кг / Питер Фрост;шт;1044;;
Торт Мусс три шоколада 2,4кг (16 порций) / Десерт Фентези;шт;2360;;
Торт Птичье молоко 1,2кг (12 порций) / Питер Фрост;шт;912;;
Торт Сметанник 1,74кг (12 порций) / Десерт Фентези;шт;1319;;
Торт Тирамису 1,4кг (12 порций) CheeseBerry;шт;1481;;
Торт Тройной Шоколад 1,4кг / Чизберри;шт;1653;;
Торт Фисташковый 1,7кг / Питер Фрост;шт;1516;;
Торт Хамелеон 1,6кг / Питер Фрост;шт;1264;;
Торт черничный десерт 1,3кг / Питер Фрост;шт;1068;;
Торт Эстерхази 1 кг / Питер Фрост ООО;шт;1344;;
Улитка с корицей 45г*84шт / Черёмушки;шт;17;;
Чизкейк New-York  1,66кг (16 порций) / Чизберри;шт;1457;;
Чизкейк New-York  1,66кг (16 порций) / Чизберри;шт;1457;;
Чизкейк New-York Ассорти 1,66кг (16 порций) / Чизберри;шт;ждём;;
Чизкейк New-York клубника 1,66кг (16 порций) / Чизберри;шт;1534;;
Чизкейк New-York малина 1,66кг (16 порций) / Чизберри;шт;1534;;
Чизкейк Кокосовый 2,1кг (16 порций) / Десерт Фентези;шт;2358;;
Чизкейк Лесные ягоды 1,40кг (12 порций) Кристоф;шт;1311;;
Чизкейк Нью-Йорк с лесными ягодами 1,8кг / Чизберри;шт;1695;;
Чизкейк Нью-Йорк шоколад, орех, карамель 2,08кг (16 порций) / Десерт Фентези;шт;1989;;
Чизкейк порция New-York 100г / Чизберри;шт;103;;
Чизкейк порция New-York Лайм 100г / Чизберри;шт;103;;
Чизкейк порция New-York с клубникой 100г / Чизберри;шт;103;;
Чизкейк порция Шоколадный 100г / Чизберри;шт;103;;
Чизкейк суфле New-York 1,2кг / Чизберри;шт;754;;
Чизкейк суфле New-York с вишней 1,2кг / Чизберри;шт;754;;
Чизкейк суфле New-York с клубникой 1,2кг / Чизберри;шт;753;;
Чизкейк суфле New-York с малиной 1,2кг / Чизберри;шт;754;;
Чизкейк суфле New-York с манго-маракуйя 1,2кг / Чизберри;шт;855;;
Чизкейк суфле New-York с манго-маракуя 1,66кг (16 порций) / Чизберри;шт;756;;
Чизкейк суфле Карамельный с арахисом 1,2кг / Чизберри;шт;847;;
Чизкейк суфле шоколадный 1,2кг / Чизберри;шт;754;;
Чизкейк Шоколадный 1,66кг (16 порций) / Чизберри;шт;1667;;
Чизкейк Яблочный 1,66кг (16 порций) / Чизберри;шт;1532;;
Кондитерские изделия;;;;
Баранки ванильные 3кг ЛИМАК / Лимак;шт;370;;
Зефир  Ваниль в тёмной глазури 3,5кг / ККФ;уп;1276;;
Зефир Ассорти фруктовое (малина, дыня, яблоко) 1кг / ККФ;уп;322;;
Зефиркино счастье клубника-банан 1 кг / ККФ;уп;325;;
Зефиркино счастье Шоколадно-апельсиновый вкус  1кг / ККФ;уп;314;;
"Мармелад желейный ""Ассорти"" 2кг/уп / Азовская";уп;429;;
"Печенье  сдобное ""Курабье"" 2,5 кг/уп / Сажинский";уп;781;;
Печенье Pekarro orange c апельсиновой начинкой и взрывной карамелью 95г / Морозова;шт;37,23;;
Печенье Pekarro с какао и начинкой с ванильным вкусом 95г / Морозова;шт;37,23;;
Печенье Карамельное настроение 6кг / Морозова;уп;1394;;
Печенье овсяное 3кг / Лимак;уп;475;;
Печенье Овсяное классическое Мини стакан 150г / Морозова;шт;56,51;;
Печенье Пышка-хвастунишка в белой глазури 1,8кг / Ванюшкины сладости;шт;579;;
Печенье Ростовское 6кг/уп / Морозова;уп;1411;;
Печенье Топленое молоко 6кг / Морозова;уп;1411;;
Печенье Формула успеха с кунжутом 4,5кг / Морозова;уп;1131;;
Печенье Формула успеха с кунжутом шоколадная глазурь 3кг / Морозова;уп;898;;
Печенье Царская коллекция (белая глазурь) 3кг/уп / Сладкодаров;уп;640;;
Печенье Царская коллекция (темная глазурь) 3кг/уп / Сладкодаров;уп;640;;
Печенье Царское Сокровище 5кг / Сладкодаров;уп;968;;
Печенье Чайное 5кг/уп / Морозова;уп;1176;;
Печенье Шоколадный сэндвич с ванильным вкусом 2кг/уп / Морозова;уп;551;;
Печенье Ювелирное 430г / Морозова;шт;108;;
Печенье Ювелирное 6кг/ Морозова;уп;1411;;
Печенье Ювелирное глазированное 3кг / Морозова;уп;850;;
Сухари ЛИМАК Ванильные 2кг / Лимак;шт;308;;
Сухари с изюмом обсыпанные сахаром 2кг / Лимак;уп;352;;
"Сушки ""Капелюшки мини"" ванильные 3кг/уп / Сажинский";уп;537;;
"Сушки ""Капелюшки мини"" горчичные 3кг /уп / Сажинский";уп;539;;
Сушки глазированные 3кг / Лимак;уп;486;;
Сушки с маком 3кг / Лимак;уп;454;;
"Хлебец хр. ""Злаковый коктейль"" лимон 100гр*20 / Хлебпром";шт;33,19;;
Кондитерские ингредиенты - Хорека;;;;
Взбитые сливки Bianca Lieve 250г / Италия;шт;254;;
"Крем растительный ""Шантипак"" 26% 1л";шт;296;;
Маршмеллоу solo Zerfer 40г*30шт;шт;ждём;;
Мёд Цветочный 1кг;шт;247;;
Миндаль лепестки VALDE 1кг;шт;1151;;
Миндальная мука мелкая 1кг Aydin / Турция;шт;971;;
Молоко сгущенка Варёнка 8,5% 4кг / Промконсервы;шт;1041;;
Молоко сгущённое цельное 8,5% ГОСТ Рогачевский 380г;шт;122;;
Молоко сгущённое цельное Пионерская 8,5% 380г / Брасовские сыры;шт;102;;
Паста арахисовая 350г Nut Story;шт;130;;
"Печенье Савоярди ""Dolci Di Montagna"" 400г / Италия";шт;284;;
Печенье Савоярди 400г Gastone Lago / Италия;шт;290;;
"Продукт растительно-сливочный ""Нежный"" 72,5% 500г / КМЗ";шт;149;;
Продукт сливочно-растительный 82,5% 500г / КМЗ;шт;201;;
Пюре Авокадо с кусочками Фрут Руж и Ко 1кг / Франция;шт;857;;
Пюре Ананас Фрут Руж и Ко 1кг / Франция;шт;946;;
Пюре Клубника  Фрут Руж и Ко 1кг / Франция;шт;800;;
Пюре Личи Фрут Руж и Ко 1кг / Франция;шт;ждём;;
Пюре Малина  Фрут Руж и Ко 1кг / Франция;шт;1418;;
Пюре манго (без сахара) 430г Люблю жизнь / Мьянма;шт;286;;
Пюре Манго Альфонсо Фрут Руж и Ко 1кг / Франция;шт;974;;
Пюре Маракуйя Фрут Руж и Ко 1кг / Франция;шт;1244;;
Пюре Персик Фрут Руж и Ко 1кг / Франция;шт;913;;
Спред растительно-жировой 72,5% 5кг / КМЗ;шт;1312;;
Топпинг Банан 1кг Dolce-Rosa;шт;346;;
Топпинг Ваниль 1кг Dolce-Rosa;шт;331;;
"Топпинг Вишня 1кг Colibri d""Oro";шт;433;;
Топпинг Голубое небо 1кг Dolce-Rosa;шт;331;;
Топпинг Карамель 1кг Dolce-Rosa;шт;354;;
Топпинг кленовый 1кг Dolce-Rosa;шт;354;;
Топпинг Лесная ягода 1кг Dolce-Rosa;шт;331;;
Топпинг Солёная карамель 1кг Dolce-Rosa;шт;354;;
Топпинг Шоколад 1кг Dolce-Rosa;шт;368;;
Шоколад Barry Callebaut Sicao белый в галлетах 2,5кг;шт;2443;;
Шоколад Barry Callebaut Sicao белый в галлетах 2,5кг;шт;3374;;
Шоколад Barry Callebaut тёмный в галлетах 2,5кг 54,5% какао;шт;3921;;
Шоколад тёмный Purocao Fondento Disch 54% 2,5кг;шт;2981;;
Консервация - Доброфлот;;;;
Анчоус в томатном соусе 240г / Азбука моря;шт;44,33;;
